Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-05-14,BO,5,10,16,2015-W19,2015-06-18
2015-05-14,BOMBALI,0,0,0,2015-W19,2015-06-18
2015-05-14,BONTHE,5,9.5,16,2015-W19,2015-06-18
2015-05-14,KAILAHUN,4,10,16,2015-W19,2015-06-18
2015-05-14,KAMBIA,4,9,16,2015-W19,2015-06-18
2015-05-14,KENEMA,4,10,16,2015-W19,2015-06-18
2015-05-14,KOINADUGU,4,9,16,2015-W19,2015-06-18
2015-05-14,KONO,4,10,17,2015-W19,2015-06-18
2015-05-14,MOYAMBA,4,10,16,2015-W19,2015-06-18
2015-05-14,PORT.LOKO,1,4,8,2015-W19,2015-06-18
2015-05-14,PUJEHUN,5,10,16,2015-W19,2015-06-18
2015-05-14,TONKOLILI,4,10,16,2015-W19,2015-06-18
2015-05-14,WESTERN,3,8,13,2015-W19,2015-06-18
2015-05-21,BO,2,7,12,2015-W19,2015-06-18
2015-05-21,BOMBALI,0,0,0,2015-W19,2015-06-18
2015-05-21,BONTHE,2,7,12,2015-W19,2015-06-18
2015-05-21,KAILAHUN,2,7,12,2015-W19,2015-06-18
2015-05-21,KAMBIA,2,6,12,2015-W19,2015-06-18
2015-05-21,KENEMA,2,7,12,2015-W19,2015-06-18
2015-05-21,KOINADUGU,2,7,12,2015-W19,2015-06-18
2015-05-21,KONO,2,7,12,2015-W19,2015-06-18
2015-05-21,MOYAMBA,2,7,12,2015-W19,2015-06-18
2015-05-21,PORT.LOKO,0,3,6,2015-W19,2015-06-18
2015-05-21,PUJEHUN,2,7,12,2015-W19,2015-06-18
2015-05-21,TONKOLILI,2,6,12,2015-W19,2015-06-18
2015-05-21,WESTERN,1,5,10,2015-W19,2015-06-18
2015-05-28,BO,5,10,17,2015-W19,2015-06-18
2015-05-28,BOMBALI,0,0,0,2015-W19,2015-06-18
2015-05-28,BONTHE,5,10,16,2015-W19,2015-06-18
2015-05-28,KAILAHUN,5,10,17,2015-W19,2015-06-18
2015-05-28,KAMBIA,5,10,16,2015-W19,2015-06-18
2015-05-28,KENEMA,5,10,17,2015-W19,2015-06-18
2015-05-28,KOINADUGU,5,11,17,2015-W19,2015-06-18
2015-05-28,KONO,5,11,17,2015-W19,2015-06-18
2015-05-28,MOYAMBA,5,10,17,2015-W19,2015-06-18
2015-05-28,PORT.LOKO,1,4,9,2015-W19,2015-06-18
2015-05-28,PUJEHUN,5,10,17,2015-W19,2015-06-18
2015-05-28,TONKOLILI,5,10,17,2015-W19,2015-06-18
2015-05-28,WESTERN,3,8,14,2015-W19,2015-06-18
2015-06-04,BO,2,7,12,2015-W19,2015-06-18
2015-06-04,BOMBALI,0,0,0,2015-W19,2015-06-18
2015-06-04,BONTHE,3,7,12,2015-W19,2015-06-18
2015-06-04,KAILAHUN,2,7,13,2015-W19,2015-06-18
2015-06-04,KAMBIA,2,6,12,2015-W19,2015-06-18
2015-06-04,KENEMA,3,7,12,2015-W19,2015-06-18
2015-06-04,KOINADUGU,2,7,12,2015-W19,2015-06-18
2015-06-04,KONO,2,7,12,2015-W19,2015-06-18
2015-06-04,MOYAMBA,2,7,12,2015-W19,2015-06-18
2015-06-04,PORT.LOKO,0,3,7,2015-W19,2015-06-18
2015-06-04,PUJEHUN,2,7,12,2015-W19,2015-06-18
2015-06-04,TONKOLILI,3,7,12,2015-W19,2015-06-18
2015-06-04,WESTERN,1.9750000000000014,5,10,2015-W19,2015-06-18
2015-06-11,BO,2,5,10,2015-W19,2015-06-18
2015-06-11,BOMBALI,0,0,0,2015-W19,2015-06-18
2015-06-11,BONTHE,2,6,11,2015-W19,2015-06-18
2015-06-11,KAILAHUN,2,6,10,2015-W19,2015-06-18
2015-06-11,KAMBIA,2,5,10,2015-W19,2015-06-18
2015-06-11,KENEMA,2,6,10,2015-W19,2015-06-18
2015-06-11,KOINADUGU,2,6,11,2015-W19,2015-06-18
2015-06-11,KONO,2,6,11,2015-W19,2015-06-18
2015-06-11,MOYAMBA,2,6,10.024999999999977,2015-W19,2015-06-18
2015-06-11,PORT.LOKO,0,2,6,2015-W19,2015-06-18
2015-06-11,PUJEHUN,2,6,11,2015-W19,2015-06-18
2015-06-11,TONKOLILI,2,5,11,2015-W19,2015-06-18
2015-06-11,WESTERN,1,4,9,2015-W19,2015-06-18
2015-06-18,BO,3,8,14,2015-W19,2015-06-18
2015-06-18,BOMBALI,0,0,0,2015-W19,2015-06-18
2015-06-18,BONTHE,3,8,14,2015-W19,2015-06-18
2015-06-18,KAILAHUN,4,8,14,2015-W19,2015-06-18
2015-06-18,KAMBIA,4,8,14,2015-W19,2015-06-18
2015-06-18,KENEMA,4,8,14,2015-W19,2015-06-18
2015-06-18,KOINADUGU,4,8,14,2015-W19,2015-06-18
2015-06-18,KONO,4,8,14,2015-W19,2015-06-18
2015-06-18,MOYAMBA,4,8,14,2015-W19,2015-06-18
2015-06-18,PORT.LOKO,0,3,7,2015-W19,2015-06-18
2015-06-18,PUJEHUN,3,8,15,2015-W19,2015-06-18
2015-06-18,TONKOLILI,3,8,14,2015-W19,2015-06-18
2015-06-18,WESTERN,2,6,12,2015-W19,2015-06-18
