Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-12-17,BO,0,0,0,2015-W50,2016-01-21
2015-12-17,BOMBALI,0,0,0,2015-W50,2016-01-21
2015-12-17,BONTHE,0,0,0,2015-W50,2016-01-21
2015-12-17,KAILAHUN,0,0,0,2015-W50,2016-01-21
2015-12-17,KAMBIA,0,0,0,2015-W50,2016-01-21
2015-12-17,KENEMA,0,0,0,2015-W50,2016-01-21
2015-12-17,KOINADUGU,0,0,0,2015-W50,2016-01-21
2015-12-17,KONO,0,0,0,2015-W50,2016-01-21
2015-12-17,MOYAMBA,0,0,0,2015-W50,2016-01-21
2015-12-17,PORT.LOKO,0,0,0,2015-W50,2016-01-21
2015-12-17,PUJEHUN,0,0,0,2015-W50,2016-01-21
2015-12-17,TONKOLILI,0,0,0,2015-W50,2016-01-21
2015-12-17,WESTERN,0,0,0,2015-W50,2016-01-21
2015-12-24,BO,0,0,0,2015-W50,2016-01-21
2015-12-24,BOMBALI,0,0,0,2015-W50,2016-01-21
2015-12-24,BONTHE,0,0,0,2015-W50,2016-01-21
2015-12-24,KAILAHUN,0,0,0,2015-W50,2016-01-21
2015-12-24,KAMBIA,0,0,0,2015-W50,2016-01-21
2015-12-24,KENEMA,0,0,0,2015-W50,2016-01-21
2015-12-24,KOINADUGU,0,0,0,2015-W50,2016-01-21
2015-12-24,KONO,0,0,0,2015-W50,2016-01-21
2015-12-24,MOYAMBA,0,0,0,2015-W50,2016-01-21
2015-12-24,PORT.LOKO,0,0,0,2015-W50,2016-01-21
2015-12-24,PUJEHUN,0,0,0,2015-W50,2016-01-21
2015-12-24,TONKOLILI,0,0,0,2015-W50,2016-01-21
2015-12-24,WESTERN,0,0,0,2015-W50,2016-01-21
2015-12-31,BO,0,0,0,2015-W50,2016-01-21
2015-12-31,BOMBALI,0,0,0,2015-W50,2016-01-21
2015-12-31,BONTHE,0,0,0,2015-W50,2016-01-21
2015-12-31,KAILAHUN,0,0,0,2015-W50,2016-01-21
2015-12-31,KAMBIA,0,0,0,2015-W50,2016-01-21
2015-12-31,KENEMA,0,0,0,2015-W50,2016-01-21
2015-12-31,KOINADUGU,0,0,0,2015-W50,2016-01-21
2015-12-31,KONO,0,0,0,2015-W50,2016-01-21
2015-12-31,MOYAMBA,0,0,0,2015-W50,2016-01-21
2015-12-31,PORT.LOKO,0,0,0,2015-W50,2016-01-21
2015-12-31,PUJEHUN,0,0,0,2015-W50,2016-01-21
2015-12-31,TONKOLILI,0,0,0,2015-W50,2016-01-21
2015-12-31,WESTERN,0,0,0,2015-W50,2016-01-21
2016-01-07,BO,0,0,0,2015-W50,2016-01-21
2016-01-07,BOMBALI,0,0,0,2015-W50,2016-01-21
2016-01-07,BONTHE,0,0,0,2015-W50,2016-01-21
2016-01-07,KAILAHUN,0,0,0,2015-W50,2016-01-21
2016-01-07,KAMBIA,0,0,0,2015-W50,2016-01-21
2016-01-07,KENEMA,0,0,0,2015-W50,2016-01-21
2016-01-07,KOINADUGU,0,0,0,2015-W50,2016-01-21
2016-01-07,KONO,0,0,0,2015-W50,2016-01-21
2016-01-07,MOYAMBA,0,0,0,2015-W50,2016-01-21
2016-01-07,PORT.LOKO,0,0,0,2015-W50,2016-01-21
2016-01-07,PUJEHUN,0,0,0,2015-W50,2016-01-21
2016-01-07,TONKOLILI,0,0,0,2015-W50,2016-01-21
2016-01-07,WESTERN,0,0,0,2015-W50,2016-01-21
2016-01-14,BO,0,0,0,2015-W50,2016-01-21
2016-01-14,BOMBALI,0,0,0,2015-W50,2016-01-21
2016-01-14,BONTHE,0,0,0,2015-W50,2016-01-21
2016-01-14,KAILAHUN,0,0,0,2015-W50,2016-01-21
2016-01-14,KAMBIA,0,0,0,2015-W50,2016-01-21
2016-01-14,KENEMA,0,0,0,2015-W50,2016-01-21
2016-01-14,KOINADUGU,0,0,0,2015-W50,2016-01-21
2016-01-14,KONO,0,0,0,2015-W50,2016-01-21
2016-01-14,MOYAMBA,0,0,0,2015-W50,2016-01-21
2016-01-14,PORT.LOKO,0,0,0,2015-W50,2016-01-21
2016-01-14,PUJEHUN,0,0,0,2015-W50,2016-01-21
2016-01-14,TONKOLILI,0,0,0,2015-W50,2016-01-21
2016-01-14,WESTERN,0,0,0,2015-W50,2016-01-21
2016-01-21,BO,0,0,0,2015-W50,2016-01-21
2016-01-21,BOMBALI,0,0,0,2015-W50,2016-01-21
2016-01-21,BONTHE,0,0,0,2015-W50,2016-01-21
2016-01-21,KAILAHUN,0,0,0,2015-W50,2016-01-21
2016-01-21,KAMBIA,0,0,0,2015-W50,2016-01-21
2016-01-21,KENEMA,0,0,0,2015-W50,2016-01-21
2016-01-21,KOINADUGU,0,0,0,2015-W50,2016-01-21
2016-01-21,KONO,0,0,0,2015-W50,2016-01-21
2016-01-21,MOYAMBA,0,0,0,2015-W50,2016-01-21
2016-01-21,PORT.LOKO,0,0,0,2015-W50,2016-01-21
2016-01-21,PUJEHUN,0,0,0,2015-W50,2016-01-21
2016-01-21,TONKOLILI,0,0,0,2015-W50,2016-01-21
2016-01-21,WESTERN,0,0,0,2015-W50,2016-01-21
