Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-03-05,BO,0,0,0,2015-W09,2015-04-09
2015-03-05,BOMBALI,11,18,27,2015-W09,2015-04-09
2015-03-05,BONTHE,7,13,21,2015-W09,2015-04-09
2015-03-05,KAILAHUN,7,13,20,2015-W09,2015-04-09
2015-03-05,KAMBIA,7,13,20,2015-W09,2015-04-09
2015-03-05,KENEMA,5,11,17,2015-W09,2015-04-09
2015-03-05,KOINADUGU,10,17,25,2015-W09,2015-04-09
2015-03-05,KONO,4,8,14,2015-W09,2015-04-09
2015-03-05,MOYAMBA,4,9,16,2015-W09,2015-04-09
2015-03-05,PORT.LOKO,6,12,20,2015-W09,2015-04-09
2015-03-05,PUJEHUN,7,13,20,2015-W09,2015-04-09
2015-03-05,TONKOLILI,5,10,17,2015-W09,2015-04-09
2015-03-05,WESTERN,6,13,20,2015-W09,2015-04-09
2015-03-12,BO,0,0,0,2015-W09,2015-04-09
2015-03-12,BOMBALI,9,16,23,2015-W09,2015-04-09
2015-03-12,BONTHE,6,12,18,2015-W09,2015-04-09
2015-03-12,KAILAHUN,6,12,18,2015-W09,2015-04-09
2015-03-12,KAMBIA,5,11,17,2015-W09,2015-04-09
2015-03-12,KENEMA,4,9,15,2015-W09,2015-04-09
2015-03-12,KOINADUGU,9,15,22,2015-W09,2015-04-09
2015-03-12,KONO,3,7,13,2015-W09,2015-04-09
2015-03-12,MOYAMBA,3,8,14,2015-W09,2015-04-09
2015-03-12,PORT.LOKO,5,10,16,2015-W09,2015-04-09
2015-03-12,PUJEHUN,6,11,19,2015-W09,2015-04-09
2015-03-12,TONKOLILI,4,9,15,2015-W09,2015-04-09
2015-03-12,WESTERN,6,11,17,2015-W09,2015-04-09
2015-03-19,BO,0,0,0,2015-W09,2015-04-09
2015-03-19,BOMBALI,5,11,17,2015-W09,2015-04-09
2015-03-19,BONTHE,3,7.5,13,2015-W09,2015-04-09
2015-03-19,KAILAHUN,3,8,13,2015-W09,2015-04-09
2015-03-19,KAMBIA,3,8,14,2015-W09,2015-04-09
2015-03-19,KENEMA,2,6,11,2015-W09,2015-04-09
2015-03-19,KOINADUGU,5,10,17,2015-W09,2015-04-09
2015-03-19,KONO,1,5,10,2015-W09,2015-04-09
2015-03-19,MOYAMBA,1,5,11,2015-W09,2015-04-09
2015-03-19,PORT.LOKO,3,7,12,2015-W09,2015-04-09
2015-03-19,PUJEHUN,3,8,13,2015-W09,2015-04-09
2015-03-19,TONKOLILI,2,6,11,2015-W09,2015-04-09
2015-03-19,WESTERN,3,8,13,2015-W09,2015-04-09
2015-03-26,BO,0,0,0,2015-W09,2015-04-09
2015-03-26,BOMBALI,9,16,24,2015-W09,2015-04-09
2015-03-26,BONTHE,6,11,18,2015-W09,2015-04-09
2015-03-26,KAILAHUN,6,11,19,2015-W09,2015-04-09
2015-03-26,KAMBIA,6,11,18,2015-W09,2015-04-09
2015-03-26,KENEMA,4,9,15.024999999999977,2015-W09,2015-04-09
2015-03-26,KOINADUGU,9,15,23,2015-W09,2015-04-09
2015-03-26,KONO,3,7,13,2015-W09,2015-04-09
2015-03-26,MOYAMBA,4,8,14,2015-W09,2015-04-09
2015-03-26,PORT.LOKO,5,10,17,2015-W09,2015-04-09
2015-03-26,PUJEHUN,6,12,18,2015-W09,2015-04-09
2015-03-26,TONKOLILI,4,9,15,2015-W09,2015-04-09
2015-03-26,WESTERN,5,11,18,2015-W09,2015-04-09
2015-04-02,BO,0,0,0,2015-W09,2015-04-09
2015-04-02,BOMBALI,12,19,28,2015-W09,2015-04-09
2015-04-02,BONTHE,7,14,21.024999999999977,2015-W09,2015-04-09
2015-04-02,KAILAHUN,7,14,22,2015-W09,2015-04-09
2015-04-02,KAMBIA,7,14,21,2015-W09,2015-04-09
2015-04-02,KENEMA,5,11,18,2015-W09,2015-04-09
2015-04-02,KOINADUGU,11,18,27,2015-W09,2015-04-09
2015-04-02,KONO,4,9,15,2015-W09,2015-04-09
2015-04-02,MOYAMBA,4,10,16,2015-W09,2015-04-09
2015-04-02,PORT.LOKO,7,13,20,2015-W09,2015-04-09
2015-04-02,PUJEHUN,7,14,22,2015-W09,2015-04-09
2015-04-02,TONKOLILI,5,11,18,2015-W09,2015-04-09
2015-04-02,WESTERN,7,13,21,2015-W09,2015-04-09
2015-04-09,BO,0,0,0,2015-W09,2015-04-09
2015-04-09,BOMBALI,3,8,13,2015-W09,2015-04-09
2015-04-09,BONTHE,1,6,11,2015-W09,2015-04-09
2015-04-09,KAILAHUN,2,5,10,2015-W09,2015-04-09
2015-04-09,KAMBIA,2,5,11,2015-W09,2015-04-09
2015-04-09,KENEMA,1,4,9,2015-W09,2015-04-09
2015-04-09,KOINADUGU,3,7,13,2015-W09,2015-04-09
2015-04-09,KONO,0,3,8,2015-W09,2015-04-09
2015-04-09,MOYAMBA,1,4,8,2015-W09,2015-04-09
2015-04-09,PORT.LOKO,1,5,9.024999999999977,2015-W09,2015-04-09
2015-04-09,PUJEHUN,2,6,11,2015-W09,2015-04-09
2015-04-09,TONKOLILI,1,4,9,2015-W09,2015-04-09
2015-04-09,WESTERN,2,5,11,2015-W09,2015-04-09
