week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORT LOKO,PUJEHUN,TONKOLILI,WESTERN,week_of,maxdate
2015-W13,0,1,0,0,5,0,0,0,0,6,0,0,13,2015-04-01,2015-06-18
2015-W14,0,0,0,0,2,0,0,0,0,1,0,0,6,2015-04-08,2015-06-18
2015-W15,0,0,0,0,4,0,0,0,0,1,0,0,4,2015-04-15,2015-06-18
2015-W16,0,0,0,0,4,0,1,0,0,1,0,0,6,2015-04-22,2015-06-18
2015-W17,0,0,0,0,8,0,0,0,0,0,0,0,3,2015-04-29,2015-06-18
2015-W18,0,0,0,0,5,0,0,0,0,0,0,0,4,2015-05-06,2015-06-18
2015-W19,0,0,0,0,0,0,0,0,0,0,0,0,2,2015-05-13,2015-06-18
