week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORT LOKO,PUJEHUN,TONKOLILI,WESTERN,week_of,maxdate
2015-W09,0,22,0,0,6,0,1,1,0,16,0,1,34,2015-03-04,2015-05-21
2015-W10,0,6,0,0,7,0,0,0,0,12,0,0,33,2015-03-11,2015-05-21
2015-W11,0,6,0,0,4,0,2,0,0,11,0,0,32,2015-03-18,2015-05-21
2015-W12,0,1,0,0,8,0,0,0,1,6,0,0,17,2015-03-25,2015-05-21
2015-W13,0,1,0,0,5,0,0,0,0,6,0,0,13,2015-04-01,2015-05-21
2015-W14,0,0,0,0,2,0,0,0,0,1,0,0,6,2015-04-08,2015-05-21
2015-W15,0,0,0,0,4,0,0,0,0,1,0,0,4,2015-04-15,2015-05-21
