Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-01-29,BO,7,13,21,2015-W04,2015-03-05
2015-01-29,BOMBALI,10,16,25,2015-W04,2015-03-05
2015-01-29,BONTHE,6,12,19,2015-W04,2015-03-05
2015-01-29,KAILAHUN,0,0,0,2015-W04,2015-03-05
2015-01-29,KAMBIA,15.975000000000001,24,34,2015-W04,2015-03-05
2015-01-29,KENEMA,11,19,27,2015-W04,2015-03-05
2015-01-29,KOINADUGU,10,18,26,2015-W04,2015-03-05
2015-01-29,KONO,13,20,29,2015-W04,2015-03-05
2015-01-29,MOYAMBA,13,20,29,2015-W04,2015-03-05
2015-01-29,PORT.LOKO,11,18,26,2015-W04,2015-03-05
2015-01-29,PUJEHUN,15,23,33,2015-W04,2015-03-05
2015-01-29,TONKOLILI,11,19,27,2015-W04,2015-03-05
2015-01-29,WESTERN,11,18,26,2015-W04,2015-03-05
2015-02-05,BO,6,12,19,2015-W04,2015-03-05
2015-02-05,BOMBALI,8,15,22,2015-W04,2015-03-05
2015-02-05,BONTHE,5.975000000000001,11,18,2015-W04,2015-03-05
2015-02-05,KAILAHUN,0,0,0,2015-W04,2015-03-05
2015-02-05,KAMBIA,14,22,31,2015-W04,2015-03-05
2015-02-05,KENEMA,10,17,26,2015-W04,2015-03-05
2015-02-05,KOINADUGU,9,16,25,2015-W04,2015-03-05
2015-02-05,KONO,11,19,27,2015-W04,2015-03-05
2015-02-05,MOYAMBA,12,19,27,2015-W04,2015-03-05
2015-02-05,PORT.LOKO,9,16,25,2015-W04,2015-03-05
2015-02-05,PUJEHUN,13,21,30,2015-W04,2015-03-05
2015-02-05,TONKOLILI,9,17,25,2015-W04,2015-03-05
2015-02-05,WESTERN,10,17,25,2015-W04,2015-03-05
2015-02-12,BO,4,9,16,2015-W04,2015-03-05
2015-02-12,BOMBALI,6,12,18,2015-W04,2015-03-05
2015-02-12,BONTHE,3.9750000000000014,8,14,2015-W04,2015-03-05
2015-02-12,KAILAHUN,0,0,0,2015-W04,2015-03-05
2015-02-12,KAMBIA,10,17,26,2015-W04,2015-03-05
2015-02-12,KENEMA,7,13,21,2015-W04,2015-03-05
2015-02-12,KOINADUGU,6,12,20,2015-W04,2015-03-05
2015-02-12,KONO,8,15,22,2015-W04,2015-03-05
2015-02-12,MOYAMBA,8,15,23,2015-W04,2015-03-05
2015-02-12,PORT.LOKO,7,13,21,2015-W04,2015-03-05
2015-02-12,PUJEHUN,9,17,24,2015-W04,2015-03-05
2015-02-12,TONKOLILI,7,13,21,2015-W04,2015-03-05
2015-02-12,WESTERN,7,13,20,2015-W04,2015-03-05
2015-02-19,BO,4,9,16,2015-W04,2015-03-05
2015-02-19,BOMBALI,5,12,19,2015-W04,2015-03-05
2015-02-19,BONTHE,3.9750000000000014,8,14.024999999999977,2015-W04,2015-03-05
2015-02-19,KAILAHUN,0,0,0,2015-W04,2015-03-05
2015-02-19,KAMBIA,10,17,25,2015-W04,2015-03-05
2015-02-19,KENEMA,7,13,21,2015-W04,2015-03-05
2015-02-19,KOINADUGU,6,13,19,2015-W04,2015-03-05
2015-02-19,KONO,8,15,22,2015-W04,2015-03-05
2015-02-19,MOYAMBA,8,15,22,2015-W04,2015-03-05
2015-02-19,PORT.LOKO,7,13,20,2015-W04,2015-03-05
2015-02-19,PUJEHUN,9,16,24,2015-W04,2015-03-05
2015-02-19,TONKOLILI,7,13,20,2015-W04,2015-03-05
2015-02-19,WESTERN,7,13,20,2015-W04,2015-03-05
2015-02-26,BO,5.975000000000001,12,19,2015-W04,2015-03-05
2015-02-26,BOMBALI,9,15,22,2015-W04,2015-03-05
2015-02-26,BONTHE,5,11,18,2015-W04,2015-03-05
2015-02-26,KAILAHUN,0,0,0,2015-W04,2015-03-05
2015-02-26,KAMBIA,14,22,31,2015-W04,2015-03-05
2015-02-26,KENEMA,10,17,26,2015-W04,2015-03-05
2015-02-26,KOINADUGU,9,16,24,2015-W04,2015-03-05
2015-02-26,KONO,11,18,26,2015-W04,2015-03-05
2015-02-26,MOYAMBA,11.975000000000001,19,28,2015-W04,2015-03-05
2015-02-26,PORT.LOKO,10,17,25,2015-W04,2015-03-05
2015-02-26,PUJEHUN,13,21,31,2015-W04,2015-03-05
2015-02-26,TONKOLILI,9,17,24,2015-W04,2015-03-05
2015-02-26,WESTERN,9,17,24,2015-W04,2015-03-05
2015-03-05,BO,4,9,15.024999999999977,2015-W04,2015-03-05
2015-03-05,BOMBALI,6,11,19,2015-W04,2015-03-05
2015-03-05,BONTHE,3,8,14,2015-W04,2015-03-05
2015-03-05,KAILAHUN,0,0,0,2015-W04,2015-03-05
2015-03-05,KAMBIA,9,16,24,2015-W04,2015-03-05
2015-03-05,KENEMA,7,13,20,2015-W04,2015-03-05
2015-03-05,KOINADUGU,6,12,18,2015-W04,2015-03-05
2015-03-05,KONO,7,14,21,2015-W04,2015-03-05
2015-03-05,MOYAMBA,8,14,22,2015-W04,2015-03-05
2015-03-05,PORT.LOKO,6,12,19,2015-W04,2015-03-05
2015-03-05,PUJEHUN,9,16,24,2015-W04,2015-03-05
2015-03-05,TONKOLILI,7,13,20,2015-W04,2015-03-05
2015-03-05,WESTERN,7,13,20.024999999999977,2015-W04,2015-03-05
