week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORT LOKO,PUJEHUN,TONKOLILI,WESTERN,week_of,maxdate
2015-W42,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-21,2016-01-07
2015-W43,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-28,2016-01-07
2015-W44,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-04,2016-01-07
2015-W45,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-11,2016-01-07
2015-W46,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-18,2016-01-07
2015-W47,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-25,2016-01-07
2015-W48,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-02,2016-01-07
