Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-01-22,BO,5,11,18,2015-W03,2015-02-26
2015-01-22,BOMBALI,5,11,18,2015-W03,2015-02-26
2015-01-22,BONTHE,4,8,14,2015-W03,2015-02-26
2015-01-22,KAILAHUN,3,8,14,2015-W03,2015-02-26
2015-01-22,KAMBIA,10,17,25,2015-W03,2015-02-26
2015-01-22,KENEMA,10,17,26,2015-W03,2015-02-26
2015-01-22,KOINADUGU,8,15,22,2015-W03,2015-02-26
2015-01-22,KONO,9,16,24,2015-W03,2015-02-26
2015-01-22,MOYAMBA,8.975000000000001,15,23,2015-W03,2015-02-26
2015-01-22,PORT.LOKO,8,14,22,2015-W03,2015-02-26
2015-01-22,PUJEHUN,9,16,24,2015-W03,2015-02-26
2015-01-22,TONKOLILI,7,13,21,2015-W03,2015-02-26
2015-01-22,WESTERN,8,14,22,2015-W03,2015-02-26
2015-01-29,BO,7,14,21,2015-W03,2015-02-26
2015-01-29,BOMBALI,8,13,21,2015-W03,2015-02-26
2015-01-29,BONTHE,4,10,17,2015-W03,2015-02-26
2015-01-29,KAILAHUN,5,10,17,2015-W03,2015-02-26
2015-01-29,KAMBIA,13,21,30,2015-W03,2015-02-26
2015-01-29,KENEMA,14,21,30.024999999999977,2015-W03,2015-02-26
2015-01-29,KOINADUGU,11,19,27,2015-W03,2015-02-26
2015-01-29,KONO,12,20,29,2015-W03,2015-02-26
2015-01-29,MOYAMBA,12,19,28,2015-W03,2015-02-26
2015-01-29,PORT.LOKO,10,18,26,2015-W03,2015-02-26
2015-01-29,PUJEHUN,13,21,29,2015-W03,2015-02-26
2015-01-29,TONKOLILI,9.975000000000001,16,25,2015-W03,2015-02-26
2015-01-29,WESTERN,10,17,26,2015-W03,2015-02-26
2015-02-05,BO,6,13,20,2015-W03,2015-02-26
2015-02-05,BOMBALI,6,12,20,2015-W03,2015-02-26
2015-02-05,BONTHE,4,9,16,2015-W03,2015-02-26
2015-02-05,KAILAHUN,4,9,16,2015-W03,2015-02-26
2015-02-05,KAMBIA,11,19,28,2015-W03,2015-02-26
2015-02-05,KENEMA,12,20,29,2015-W03,2015-02-26
2015-02-05,KOINADUGU,10,17,25,2015-W03,2015-02-26
2015-02-05,KONO,11,19,27,2015-W03,2015-02-26
2015-02-05,MOYAMBA,10.975000000000001,18,26,2015-W03,2015-02-26
2015-02-05,PORT.LOKO,10,16,24,2015-W03,2015-02-26
2015-02-05,PUJEHUN,11,18,27,2015-W03,2015-02-26
2015-02-05,TONKOLILI,8,15,24,2015-W03,2015-02-26
2015-02-05,WESTERN,9,16,24,2015-W03,2015-02-26
2015-02-12,BO,5,10,16,2015-W03,2015-02-26
2015-02-12,BOMBALI,4,10,16,2015-W03,2015-02-26
2015-02-12,BONTHE,3,7,13,2015-W03,2015-02-26
2015-02-12,KAILAHUN,3,7,13,2015-W03,2015-02-26
2015-02-12,KAMBIA,9,15,22,2015-W03,2015-02-26
2015-02-12,KENEMA,9,15,24,2015-W03,2015-02-26
2015-02-12,KOINADUGU,7,13,21,2015-W03,2015-02-26
2015-02-12,KONO,8,14,22,2015-W03,2015-02-26
2015-02-12,MOYAMBA,7,14,21,2015-W03,2015-02-26
2015-02-12,PORT.LOKO,6,13,20,2015-W03,2015-02-26
2015-02-12,PUJEHUN,8,15,22,2015-W03,2015-02-26
2015-02-12,TONKOLILI,6,12,19,2015-W03,2015-02-26
2015-02-12,WESTERN,6,12,19.024999999999977,2015-W03,2015-02-26
2015-02-19,BO,4,10,16,2015-W03,2015-02-26
2015-02-19,BOMBALI,4,10,16,2015-W03,2015-02-26
2015-02-19,BONTHE,3,7,13,2015-W03,2015-02-26
2015-02-19,KAILAHUN,3,7,13,2015-W03,2015-02-26
2015-02-19,KAMBIA,8,15,22,2015-W03,2015-02-26
2015-02-19,KENEMA,9,16,23,2015-W03,2015-02-26
2015-02-19,KOINADUGU,7,13,21,2015-W03,2015-02-26
2015-02-19,KONO,8,14,22,2015-W03,2015-02-26
2015-02-19,MOYAMBA,8,14,21,2015-W03,2015-02-26
2015-02-19,PORT.LOKO,7,13,20,2015-W03,2015-02-26
2015-02-19,PUJEHUN,8,14,23,2015-W03,2015-02-26
2015-02-19,TONKOLILI,7,12,19,2015-W03,2015-02-26
2015-02-19,WESTERN,6,12,19,2015-W03,2015-02-26
2015-02-26,BO,6,12,20,2015-W03,2015-02-26
2015-02-26,BOMBALI,6,12,19,2015-W03,2015-02-26
2015-02-26,BONTHE,4,10,16,2015-W03,2015-02-26
2015-02-26,KAILAHUN,4,9,16,2015-W03,2015-02-26
2015-02-26,KAMBIA,12,19,28,2015-W03,2015-02-26
2015-02-26,KENEMA,12,20,28,2015-W03,2015-02-26
2015-02-26,KOINADUGU,10,17,25,2015-W03,2015-02-26
2015-02-26,KONO,11,18,27,2015-W03,2015-02-26
2015-02-26,MOYAMBA,10,18,26,2015-W03,2015-02-26
2015-02-26,PORT.LOKO,9,16,24,2015-W03,2015-02-26
2015-02-26,PUJEHUN,11,19,27,2015-W03,2015-02-26
2015-02-26,TONKOLILI,8,15,23,2015-W03,2015-02-26
2015-02-26,WESTERN,9,16,23,2015-W03,2015-02-26
