Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-02-19,BO,2,7,13,2015-W07,2015-03-26
2015-02-19,BOMBALI,6,12,19,2015-W07,2015-03-26
2015-02-19,BONTHE,8,15,23,2015-W07,2015-03-26
2015-02-19,KAILAHUN,9,15,23,2015-W07,2015-03-26
2015-02-19,KAMBIA,7,14,22,2015-W07,2015-03-26
2015-02-19,KENEMA,8,15,23,2015-W07,2015-03-26
2015-02-19,KOINADUGU,4,9,16,2015-W07,2015-03-26
2015-02-19,KONO,4,9,15,2015-W07,2015-03-26
2015-02-19,MOYAMBA,4,9,16,2015-W07,2015-03-26
2015-02-19,PORT.LOKO,7,13,20,2015-W07,2015-03-26
2015-02-19,PUJEHUN,8,15,23,2015-W07,2015-03-26
2015-02-19,TONKOLILI,6.975000000000001,13,20,2015-W07,2015-03-26
2015-02-19,WESTERN,6,12,19,2015-W07,2015-03-26
2015-02-26,BO,4,9,15,2015-W07,2015-03-26
2015-02-26,BOMBALI,9,15,23,2015-W07,2015-03-26
2015-02-26,BONTHE,11,19,27,2015-W07,2015-03-26
2015-02-26,KAILAHUN,12,19,27,2015-W07,2015-03-26
2015-02-26,KAMBIA,11,18,26.024999999999977,2015-W07,2015-03-26
2015-02-26,KENEMA,11.975000000000001,19,27,2015-W07,2015-03-26
2015-02-26,KOINADUGU,5.975000000000001,12,19,2015-W07,2015-03-26
2015-02-26,KONO,5,11,18,2015-W07,2015-03-26
2015-02-26,MOYAMBA,6,12,19,2015-W07,2015-03-26
2015-02-26,PORT.LOKO,9,17,26,2015-W07,2015-03-26
2015-02-26,PUJEHUN,11.975000000000001,19,28,2015-W07,2015-03-26
2015-02-26,TONKOLILI,9,16,24,2015-W07,2015-03-26
2015-02-26,WESTERN,9,15,23.024999999999977,2015-W07,2015-03-26
2015-03-05,BO,2,7,13,2015-W07,2015-03-26
2015-03-05,BOMBALI,5,12,19,2015-W07,2015-03-26
2015-03-05,BONTHE,8,14,21,2015-W07,2015-03-26
2015-03-05,KAILAHUN,8,14,22,2015-W07,2015-03-26
2015-03-05,KAMBIA,6,13,20,2015-W07,2015-03-26
2015-03-05,KENEMA,8,14,21,2015-W07,2015-03-26
2015-03-05,KOINADUGU,4,9,15.024999999999977,2015-W07,2015-03-26
2015-03-05,KONO,3,8,15,2015-W07,2015-03-26
2015-03-05,MOYAMBA,4,9,15,2015-W07,2015-03-26
2015-03-05,PORT.LOKO,6,13,19,2015-W07,2015-03-26
2015-03-05,PUJEHUN,8,14,22,2015-W07,2015-03-26
2015-03-05,TONKOLILI,6,12,19,2015-W07,2015-03-26
2015-03-05,WESTERN,6,12,19,2015-W07,2015-03-26
2015-03-12,BO,2,6,11,2015-W07,2015-03-26
2015-03-12,BOMBALI,5,10,17,2015-W07,2015-03-26
2015-03-12,BONTHE,6,12,19,2015-W07,2015-03-26
2015-03-12,KAILAHUN,6.975000000000001,13,19,2015-W07,2015-03-26
2015-03-12,KAMBIA,6,11,18,2015-W07,2015-03-26
2015-03-12,KENEMA,6.975000000000001,12,19,2015-W07,2015-03-26
2015-03-12,KOINADUGU,3,8,13,2015-W07,2015-03-26
2015-03-12,KONO,3,7,13,2015-W07,2015-03-26
2015-03-12,MOYAMBA,3,8,13,2015-W07,2015-03-26
2015-03-12,PORT.LOKO,5,11,17,2015-W07,2015-03-26
2015-03-12,PUJEHUN,6,12,19.024999999999977,2015-W07,2015-03-26
2015-03-12,TONKOLILI,5,10,17,2015-W07,2015-03-26
2015-03-12,WESTERN,5,10,17,2015-W07,2015-03-26
2015-03-19,BO,1,4,8,2015-W07,2015-03-26
2015-03-19,BOMBALI,3,7,12,2015-W07,2015-03-26
2015-03-19,BONTHE,3,8,14,2015-W07,2015-03-26
2015-03-19,KAILAHUN,4,8,14,2015-W07,2015-03-26
2015-03-19,KAMBIA,3,8,13.024999999999977,2015-W07,2015-03-26
2015-03-19,KENEMA,3.9750000000000014,8,14,2015-W07,2015-03-26
2015-03-19,KOINADUGU,1,5,10,2015-W07,2015-03-26
2015-03-19,KONO,1,5,9,2015-W07,2015-03-26
2015-03-19,MOYAMBA,1,5,10,2015-W07,2015-03-26
2015-03-19,PORT.LOKO,3,7,13,2015-W07,2015-03-26
2015-03-19,PUJEHUN,4,8,14,2015-W07,2015-03-26
2015-03-19,TONKOLILI,2,7,13,2015-W07,2015-03-26
2015-03-19,WESTERN,2,7,12,2015-W07,2015-03-26
2015-03-26,BO,2,6,11,2015-W07,2015-03-26
2015-03-26,BOMBALI,5,10,16,2015-W07,2015-03-26
2015-03-26,BONTHE,7,13,20,2015-W07,2015-03-26
2015-03-26,KAILAHUN,7,12,20,2015-W07,2015-03-26
2015-03-26,KAMBIA,6,12,18.024999999999977,2015-W07,2015-03-26
2015-03-26,KENEMA,6,12,19,2015-W07,2015-03-26
2015-03-26,KOINADUGU,2.9750000000000014,8,14,2015-W07,2015-03-26
2015-03-26,KONO,3,7,13,2015-W07,2015-03-26
2015-03-26,MOYAMBA,3,8,13.024999999999977,2015-W07,2015-03-26
2015-03-26,PORT.LOKO,6,11,18,2015-W07,2015-03-26
2015-03-26,PUJEHUN,6,12,20,2015-W07,2015-03-26
2015-03-26,TONKOLILI,5,10,16,2015-W07,2015-03-26
2015-03-26,WESTERN,4.975000000000001,10,17,2015-W07,2015-03-26
