Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-03-12,BO,5,11,18,2015-W10,2015-04-16
2015-03-12,BOMBALI,8,14,22,2015-W10,2015-04-16
2015-03-12,BONTHE,5,11,17,2015-W10,2015-04-16
2015-03-12,KAILAHUN,5,11,17,2015-W10,2015-04-16
2015-03-12,KAMBIA,5,11,17,2015-W10,2015-04-16
2015-03-12,KENEMA,3,7,13,2015-W10,2015-04-16
2015-03-12,KOINADUGU,5,11,17,2015-W10,2015-04-16
2015-03-12,KONO,3,8,14,2015-W10,2015-04-16
2015-03-12,MOYAMBA,3,8,14,2015-W10,2015-04-16
2015-03-12,PORT.LOKO,5,10,17,2015-W10,2015-04-16
2015-03-12,PUJEHUN,6,11,18,2015-W10,2015-04-16
2015-03-12,TONKOLILI,2.9750000000000014,7,12,2015-W10,2015-04-16
2015-03-12,WESTERN,5,10,17,2015-W10,2015-04-16
2015-03-19,BO,3,7,13,2015-W10,2015-04-16
2015-03-19,BOMBALI,4,10,16,2015-W10,2015-04-16
2015-03-19,BONTHE,3,7,13.024999999999977,2015-W10,2015-04-16
2015-03-19,KAILAHUN,3,7,13.024999999999977,2015-W10,2015-04-16
2015-03-19,KAMBIA,3,7,13,2015-W10,2015-04-16
2015-03-19,KENEMA,1,5,10,2015-W10,2015-04-16
2015-03-19,KOINADUGU,3,8,13,2015-W10,2015-04-16
2015-03-19,KONO,1,5,10,2015-W10,2015-04-16
2015-03-19,MOYAMBA,1,5,10.024999999999977,2015-W10,2015-04-16
2015-03-19,PORT.LOKO,2,7,12,2015-W10,2015-04-16
2015-03-19,PUJEHUN,3,7,13,2015-W10,2015-04-16
2015-03-19,TONKOLILI,1,5,9,2015-W10,2015-04-16
2015-03-19,WESTERN,3,7,13,2015-W10,2015-04-16
2015-03-26,BO,5,11,17,2015-W10,2015-04-16
2015-03-26,BOMBALI,8,15,22,2015-W10,2015-04-16
2015-03-26,BONTHE,5,11,18,2015-W10,2015-04-16
2015-03-26,KAILAHUN,5,11,17,2015-W10,2015-04-16
2015-03-26,KAMBIA,5,11,17,2015-W10,2015-04-16
2015-03-26,KENEMA,3,7,13,2015-W10,2015-04-16
2015-03-26,KOINADUGU,5,11,18,2015-W10,2015-04-16
2015-03-26,KONO,3,8,14,2015-W10,2015-04-16
2015-03-26,MOYAMBA,3,8,14,2015-W10,2015-04-16
2015-03-26,PORT.LOKO,5,10,17,2015-W10,2015-04-16
2015-03-26,PUJEHUN,5,11,17,2015-W10,2015-04-16
2015-03-26,TONKOLILI,2,7,12,2015-W10,2015-04-16
2015-03-26,WESTERN,5,11,18,2015-W10,2015-04-16
2015-04-02,BO,7,13,20,2015-W10,2015-04-16
2015-04-02,BOMBALI,11,18,26,2015-W10,2015-04-16
2015-04-02,BONTHE,7,13,21,2015-W10,2015-04-16
2015-04-02,KAILAHUN,7,13,21,2015-W10,2015-04-16
2015-04-02,KAMBIA,7,13,21,2015-W10,2015-04-16
2015-04-02,KENEMA,4,9,15.024999999999977,2015-W10,2015-04-16
2015-04-02,KOINADUGU,7,14,20,2015-W10,2015-04-16
2015-04-02,KONO,4,10,16,2015-W10,2015-04-16
2015-04-02,MOYAMBA,4,10,16,2015-W10,2015-04-16
2015-04-02,PORT.LOKO,6,12,20,2015-W10,2015-04-16
2015-04-02,PUJEHUN,7,13,20,2015-W10,2015-04-16
2015-04-02,TONKOLILI,4,9,15,2015-W10,2015-04-16
2015-04-02,WESTERN,7,13,21,2015-W10,2015-04-16
2015-04-09,BO,2,5,11,2015-W10,2015-04-16
2015-04-09,BOMBALI,3,7,13,2015-W10,2015-04-16
2015-04-09,BONTHE,2,5,10,2015-W10,2015-04-16
2015-04-09,KAILAHUN,1,5,10,2015-W10,2015-04-16
2015-04-09,KAMBIA,2,5,9.024999999999977,2015-W10,2015-04-16
2015-04-09,KENEMA,0,3,8,2015-W10,2015-04-16
2015-04-09,KOINADUGU,2,5,10,2015-W10,2015-04-16
2015-04-09,KONO,1,4,8,2015-W10,2015-04-16
2015-04-09,MOYAMBA,1,4,8,2015-W10,2015-04-16
2015-04-09,PORT.LOKO,1,5,9.024999999999977,2015-W10,2015-04-16
2015-04-09,PUJEHUN,2,5,10,2015-W10,2015-04-16
2015-04-09,TONKOLILI,1,3,7,2015-W10,2015-04-16
2015-04-09,WESTERN,2,5,10,2015-W10,2015-04-16
2015-04-16,BO,2,5,10,2015-W10,2015-04-16
2015-04-16,BOMBALI,3,7,13,2015-W10,2015-04-16
2015-04-16,BONTHE,2,5,10,2015-W10,2015-04-16
2015-04-16,KAILAHUN,1,5,10,2015-W10,2015-04-16
2015-04-16,KAMBIA,2,5,10,2015-W10,2015-04-16
2015-04-16,KENEMA,1,4,8,2015-W10,2015-04-16
2015-04-16,KOINADUGU,2,5,10,2015-W10,2015-04-16
2015-04-16,KONO,1,4,8,2015-W10,2015-04-16
2015-04-16,MOYAMBA,1,4,8,2015-W10,2015-04-16
2015-04-16,PORT.LOKO,1,5,9,2015-W10,2015-04-16
2015-04-16,PUJEHUN,2,5,11,2015-W10,2015-04-16
2015-04-16,TONKOLILI,1,3,8,2015-W10,2015-04-16
2015-04-16,WESTERN,1,5,10,2015-W10,2015-04-16
