week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORT LOKO,PUJEHUN,TONKOLILI,WESTERN,week_of,maxdate
2015-W46,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-18,2016-01-28
2015-W47,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-25,2016-01-28
2015-W48,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-02,2016-01-28
2015-W49,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-09,2016-01-28
2015-W50,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-16,2016-01-28
2015-W51,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-23,2016-01-28
2015-W52,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-30,2016-01-28
