week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORT LOKO,PUJEHUN,TONKOLILI,WESTERN,week_of,maxdate
2014-W49,14,57,1,0,10,0,2,24,10,76,0,13,190,2014-12-09,2015-02-26
2014-W50,24,23,0,3,11,1,3,12,3,56,0,14,177,2014-12-16,2015-02-26
2014-W51,2,33,1,0,7,1,1,13,5,92,0,14,146,2014-12-23,2015-02-26
2014-W52,6,22,0,0,5,0,7,39,5,69,0,13,171,2014-12-30,2015-02-26
2015-W01,3,3,0,0,6,1,5,32,11,41,0,3,143,2015-01-07,2015-02-26
2015-W02,4,4,0,0,17,0,1,14,4,41,0,9,90,2015-01-14,2015-02-26
2015-W03,2,8,0,0,8,1,0,13,4,31,0,3,47,2015-01-21,2015-02-26
