week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORT LOKO,PUJEHUN,TONKOLILI,WESTERN,week_of,maxdate
2015-W21,0,0,0,0,0,0,0,0,0,1,0,0,2,2015-05-27,2015-08-13
2015-W22,0,0,0,0,1,0,0,0,0,8,0,0,3,2015-06-03,2015-08-13
2015-W23,0,0,0,0,5,0,0,0,0,10,0,0,0,2015-06-10,2015-08-13
2015-W24,0,0,0,0,6,0,0,0,0,8,0,0,0,2015-06-17,2015-08-13
2015-W25,0,0,0,0,2,0,0,0,0,4,0,0,2,2015-06-24,2015-08-13
2015-W26,0,0,0,0,2,0,0,0,0,2,0,0,4,2015-07-01,2015-08-13
2015-W27,0,0,0,0,4,0,0,0,0,2,0,0,3,2015-07-08,2015-08-13
