Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-09-17,BO,0,0,0,2015-W37,2015-10-22
2015-09-17,BOMBALI,67,67,67,2015-W37,2015-10-22
2015-09-17,BONTHE,0,0,0,2015-W37,2015-10-22
2015-09-17,KAILAHUN,0,0,0,2015-W37,2015-10-22
2015-09-17,KAMBIA,0,0,0,2015-W37,2015-10-22
2015-09-17,KENEMA,0,0,0,2015-W37,2015-10-22
2015-09-17,KOINADUGU,0,0,0,2015-W37,2015-10-22
2015-09-17,KONO,0,0,0,2015-W37,2015-10-22
2015-09-17,MOYAMBA,0,0,0,2015-W37,2015-10-22
2015-09-17,PORT.LOKO,0,0,0,2015-W37,2015-10-22
2015-09-17,PUJEHUN,0,0,0,2015-W37,2015-10-22
2015-09-17,TONKOLILI,0,0,0,2015-W37,2015-10-22
2015-09-17,WESTERN,0,0,0,2015-W37,2015-10-22
2015-09-24,BO,0,0,0,2015-W37,2015-10-22
2015-09-24,BOMBALI,88,88,88,2015-W37,2015-10-22
2015-09-24,BONTHE,0,0,0,2015-W37,2015-10-22
2015-09-24,KAILAHUN,0,0,0,2015-W37,2015-10-22
2015-09-24,KAMBIA,0,0,0,2015-W37,2015-10-22
2015-09-24,KENEMA,0,0,0,2015-W37,2015-10-22
2015-09-24,KOINADUGU,0,0,0,2015-W37,2015-10-22
2015-09-24,KONO,0,0,0,2015-W37,2015-10-22
2015-09-24,MOYAMBA,0,0,0,2015-W37,2015-10-22
2015-09-24,PORT.LOKO,0,0,0,2015-W37,2015-10-22
2015-09-24,PUJEHUN,0,0,0,2015-W37,2015-10-22
2015-09-24,TONKOLILI,0,0,0,2015-W37,2015-10-22
2015-09-24,WESTERN,0,0,0,2015-W37,2015-10-22
2015-10-01,BO,0,0,0,2015-W37,2015-10-22
2015-10-01,BOMBALI,34,34,34,2015-W37,2015-10-22
2015-10-01,BONTHE,0,0,0,2015-W37,2015-10-22
2015-10-01,KAILAHUN,0,0,0,2015-W37,2015-10-22
2015-10-01,KAMBIA,0,0,0,2015-W37,2015-10-22
2015-10-01,KENEMA,0,0,0,2015-W37,2015-10-22
2015-10-01,KOINADUGU,0,0,0,2015-W37,2015-10-22
2015-10-01,KONO,0,0,0,2015-W37,2015-10-22
2015-10-01,MOYAMBA,0,0,0,2015-W37,2015-10-22
2015-10-01,PORT.LOKO,0,0,0,2015-W37,2015-10-22
2015-10-01,PUJEHUN,0,0,0,2015-W37,2015-10-22
2015-10-01,TONKOLILI,0,0,0,2015-W37,2015-10-22
2015-10-01,WESTERN,0,0,0,2015-W37,2015-10-22
2015-10-08,BO,0,0,0,2015-W37,2015-10-22
2015-10-08,BOMBALI,37,37,37,2015-W37,2015-10-22
2015-10-08,BONTHE,0,0,0,2015-W37,2015-10-22
2015-10-08,KAILAHUN,0,0,0,2015-W37,2015-10-22
2015-10-08,KAMBIA,0,0,0,2015-W37,2015-10-22
2015-10-08,KENEMA,0,0,0,2015-W37,2015-10-22
2015-10-08,KOINADUGU,0,0,0,2015-W37,2015-10-22
2015-10-08,KONO,0,0,0,2015-W37,2015-10-22
2015-10-08,MOYAMBA,0,0,0,2015-W37,2015-10-22
2015-10-08,PORT.LOKO,0,0,0,2015-W37,2015-10-22
2015-10-08,PUJEHUN,0,0,0,2015-W37,2015-10-22
2015-10-08,TONKOLILI,0,0,0,2015-W37,2015-10-22
2015-10-08,WESTERN,0,0,0,2015-W37,2015-10-22
2015-10-15,BO,0,0,0,2015-W37,2015-10-22
2015-10-15,BOMBALI,19,19,19,2015-W37,2015-10-22
2015-10-15,BONTHE,0,0,0,2015-W37,2015-10-22
2015-10-15,KAILAHUN,0,0,0,2015-W37,2015-10-22
2015-10-15,KAMBIA,0,0,0,2015-W37,2015-10-22
2015-10-15,KENEMA,0,0,0,2015-W37,2015-10-22
2015-10-15,KOINADUGU,0,0,0,2015-W37,2015-10-22
2015-10-15,KONO,0,0,0,2015-W37,2015-10-22
2015-10-15,MOYAMBA,0,0,0,2015-W37,2015-10-22
2015-10-15,PORT.LOKO,0,0,0,2015-W37,2015-10-22
2015-10-15,PUJEHUN,0,0,0,2015-W37,2015-10-22
2015-10-15,TONKOLILI,0,0,0,2015-W37,2015-10-22
2015-10-15,WESTERN,0,0,0,2015-W37,2015-10-22
2015-10-22,BO,0,0,0,2015-W37,2015-10-22
2015-10-22,BOMBALI,60,60,60,2015-W37,2015-10-22
2015-10-22,BONTHE,0,0,0,2015-W37,2015-10-22
2015-10-22,KAILAHUN,0,0,0,2015-W37,2015-10-22
2015-10-22,KAMBIA,0,0,0,2015-W37,2015-10-22
2015-10-22,KENEMA,0,0,0,2015-W37,2015-10-22
2015-10-22,KOINADUGU,0,0,0,2015-W37,2015-10-22
2015-10-22,KONO,0,0,0,2015-W37,2015-10-22
2015-10-22,MOYAMBA,0,0,0,2015-W37,2015-10-22
2015-10-22,PORT.LOKO,0,0,0,2015-W37,2015-10-22
2015-10-22,PUJEHUN,0,0,0,2015-W37,2015-10-22
2015-10-22,TONKOLILI,0,0,0,2015-W37,2015-10-22
2015-10-22,WESTERN,0,0,0,2015-W37,2015-10-22
