Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-02-12,BO,3,8,14,2015-W06,2015-03-19
2015-02-12,BOMBALI,5,10,17,2015-W06,2015-03-19
2015-02-12,BONTHE,8,15,23,2015-W06,2015-03-19
2015-02-12,KAILAHUN,8,15,22,2015-W06,2015-03-19
2015-02-12,KAMBIA,8,15,22,2015-W06,2015-03-19
2015-02-12,KENEMA,11,19,27,2015-W06,2015-03-19
2015-02-12,KOINADUGU,2,7,12.024999999999977,2015-W06,2015-03-19
2015-02-12,KONO,4,9,15.024999999999977,2015-W06,2015-03-19
2015-02-12,MOYAMBA,5,11,18,2015-W06,2015-03-19
2015-02-12,PORT.LOKO,6,13,20,2015-W06,2015-03-19
2015-02-12,PUJEHUN,8,15,22,2015-W06,2015-03-19
2015-02-12,TONKOLILI,5,10,17,2015-W06,2015-03-19
2015-02-12,WESTERN,5,10,16,2015-W06,2015-03-19
2015-02-19,BO,3,8,14,2015-W06,2015-03-19
2015-02-19,BOMBALI,5,10,17,2015-W06,2015-03-19
2015-02-19,BONTHE,8,15,23,2015-W06,2015-03-19
2015-02-19,KAILAHUN,9,15,22,2015-W06,2015-03-19
2015-02-19,KAMBIA,8,15,23,2015-W06,2015-03-19
2015-02-19,KENEMA,12,19,27,2015-W06,2015-03-19
2015-02-19,KOINADUGU,2,7,12,2015-W06,2015-03-19
2015-02-19,KONO,4,10,15,2015-W06,2015-03-19
2015-02-19,MOYAMBA,5,11,18,2015-W06,2015-03-19
2015-02-19,PORT.LOKO,6,13,20,2015-W06,2015-03-19
2015-02-19,PUJEHUN,8,15,23,2015-W06,2015-03-19
2015-02-19,TONKOLILI,5,10,17,2015-W06,2015-03-19
2015-02-19,WESTERN,5,10,17,2015-W06,2015-03-19
2015-02-26,BO,5,10,17,2015-W06,2015-03-19
2015-02-26,BOMBALI,7,13,20,2015-W06,2015-03-19
2015-02-26,BONTHE,11,19,28,2015-W06,2015-03-19
2015-02-26,KAILAHUN,12,19,27,2015-W06,2015-03-19
2015-02-26,KAMBIA,11,19,28,2015-W06,2015-03-19
2015-02-26,KENEMA,15,25,34,2015-W06,2015-03-19
2015-02-26,KOINADUGU,3,9,15,2015-W06,2015-03-19
2015-02-26,KONO,6,12,19,2015-W06,2015-03-19
2015-02-26,MOYAMBA,8,15,22.024999999999977,2015-W06,2015-03-19
2015-02-26,PORT.LOKO,9,16,24,2015-W06,2015-03-19
2015-02-26,PUJEHUN,12,19,27,2015-W06,2015-03-19
2015-02-26,TONKOLILI,7,13,20.024999999999977,2015-W06,2015-03-19
2015-02-26,WESTERN,7,13,20,2015-W06,2015-03-19
2015-03-05,BO,3,8,14,2015-W06,2015-03-19
2015-03-05,BOMBALI,5,10,16,2015-W06,2015-03-19
2015-03-05,BONTHE,7,14,22,2015-W06,2015-03-19
2015-03-05,KAILAHUN,8,14,22,2015-W06,2015-03-19
2015-03-05,KAMBIA,8,14,22,2015-W06,2015-03-19
2015-03-05,KENEMA,12,19,27,2015-W06,2015-03-19
2015-03-05,KOINADUGU,2,7,12,2015-W06,2015-03-19
2015-03-05,KONO,4,9,15,2015-W06,2015-03-19
2015-03-05,MOYAMBA,5,11,17,2015-W06,2015-03-19
2015-03-05,PORT.LOKO,6,12,20,2015-W06,2015-03-19
2015-03-05,PUJEHUN,8,14,22,2015-W06,2015-03-19
2015-03-05,TONKOLILI,4,10,16,2015-W06,2015-03-19
2015-03-05,WESTERN,4,10,16,2015-W06,2015-03-19
2015-03-12,BO,2,7,12,2015-W06,2015-03-19
2015-03-12,BOMBALI,4,8,14,2015-W06,2015-03-19
2015-03-12,BONTHE,6,12,20,2015-W06,2015-03-19
2015-03-12,KAILAHUN,7,12,19.024999999999977,2015-W06,2015-03-19
2015-03-12,KAMBIA,6,12,19,2015-W06,2015-03-19
2015-03-12,KENEMA,9,16,24,2015-W06,2015-03-19
2015-03-12,KOINADUGU,2,6,11,2015-W06,2015-03-19
2015-03-12,KONO,3,8,14,2015-W06,2015-03-19
2015-03-12,MOYAMBA,4,9,16,2015-W06,2015-03-19
2015-03-12,PORT.LOKO,4.975000000000001,10,17,2015-W06,2015-03-19
2015-03-12,PUJEHUN,6,12,20,2015-W06,2015-03-19
2015-03-12,TONKOLILI,3,9,15,2015-W06,2015-03-19
2015-03-12,WESTERN,4,9,15,2015-W06,2015-03-19
2015-03-19,BO,1,4,9,2015-W06,2015-03-19
2015-03-19,BOMBALI,2,6,11,2015-W06,2015-03-19
2015-03-19,BONTHE,3,8,15,2015-W06,2015-03-19
2015-03-19,KAILAHUN,4,8,14,2015-W06,2015-03-19
2015-03-19,KAMBIA,3.9750000000000014,8,14,2015-W06,2015-03-19
2015-03-19,KENEMA,5,11,17,2015-W06,2015-03-19
2015-03-19,KOINADUGU,1,4,8,2015-W06,2015-03-19
2015-03-19,KONO,1,5,10,2015-W06,2015-03-19
2015-03-19,MOYAMBA,2,6,12,2015-W06,2015-03-19
2015-03-19,PORT.LOKO,2.9750000000000014,7,13,2015-W06,2015-03-19
2015-03-19,PUJEHUN,4,8,14,2015-W06,2015-03-19
2015-03-19,TONKOLILI,2,6,11,2015-W06,2015-03-19
2015-03-19,WESTERN,2,6,11,2015-W06,2015-03-19
