Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-02-26,BO,1,4,9,2015-W08,2015-04-02
2015-02-26,BOMBALI,13,22,30,2015-W08,2015-04-02
2015-02-26,BONTHE,11,18,26,2015-W08,2015-04-02
2015-02-26,KAILAHUN,11,18,27,2015-W08,2015-04-02
2015-02-26,KAMBIA,9,16,24,2015-W08,2015-04-02
2015-02-26,KENEMA,11,19,28,2015-W08,2015-04-02
2015-02-26,KOINADUGU,9,17,25,2015-W08,2015-04-02
2015-02-26,KONO,6,11,19,2015-W08,2015-04-02
2015-02-26,MOYAMBA,7,14,21,2015-W08,2015-04-02
2015-02-26,PORT.LOKO,9,16,24,2015-W08,2015-04-02
2015-02-26,PUJEHUN,11,18,26,2015-W08,2015-04-02
2015-02-26,TONKOLILI,6,12,20,2015-W08,2015-04-02
2015-02-26,WESTERN,9,16,23.024999999999977,2015-W08,2015-04-02
2015-03-05,BO,0,3,7.024999999999977,2015-W08,2015-04-02
2015-03-05,BOMBALI,10,16,25,2015-W08,2015-04-02
2015-03-05,BONTHE,7,14,21,2015-W08,2015-04-02
2015-03-05,KAILAHUN,7,14,21,2015-W08,2015-04-02
2015-03-05,KAMBIA,6,12,19,2015-W08,2015-04-02
2015-03-05,KENEMA,8,14,22,2015-W08,2015-04-02
2015-03-05,KOINADUGU,7,13,20,2015-W08,2015-04-02
2015-03-05,KONO,4,8,15,2015-W08,2015-04-02
2015-03-05,MOYAMBA,5,10,17,2015-W08,2015-04-02
2015-03-05,PORT.LOKO,6,12,19,2015-W08,2015-04-02
2015-03-05,PUJEHUN,7,13,21,2015-W08,2015-04-02
2015-03-05,TONKOLILI,4,9,16,2015-W08,2015-04-02
2015-03-05,WESTERN,6,12,18,2015-W08,2015-04-02
2015-03-12,BO,0,3,7,2015-W08,2015-04-02
2015-03-12,BOMBALI,8,14,21,2015-W08,2015-04-02
2015-03-12,BONTHE,6,12,19,2015-W08,2015-04-02
2015-03-12,KAILAHUN,6,12,18,2015-W08,2015-04-02
2015-03-12,KAMBIA,5,10,17,2015-W08,2015-04-02
2015-03-12,KENEMA,6,12,19,2015-W08,2015-04-02
2015-03-12,KOINADUGU,5,11,18,2015-W08,2015-04-02
2015-03-12,KONO,3,7,13,2015-W08,2015-04-02
2015-03-12,MOYAMBA,4,9,16,2015-W08,2015-04-02
2015-03-12,PORT.LOKO,4.975000000000001,10,16.024999999999977,2015-W08,2015-04-02
2015-03-12,PUJEHUN,6,11,18,2015-W08,2015-04-02
2015-03-12,TONKOLILI,3,8,14,2015-W08,2015-04-02
2015-03-12,WESTERN,5,10,16,2015-W08,2015-04-02
2015-03-19,BO,0,2,5,2015-W08,2015-04-02
2015-03-19,BOMBALI,4,10,15,2015-W08,2015-04-02
2015-03-19,BONTHE,3,8,14,2015-W08,2015-04-02
2015-03-19,KAILAHUN,3,8,13.024999999999977,2015-W08,2015-04-02
2015-03-19,KAMBIA,2,7,13,2015-W08,2015-04-02
2015-03-19,KENEMA,4,8,14,2015-W08,2015-04-02
2015-03-19,KOINADUGU,3,7,13,2015-W08,2015-04-02
2015-03-19,KONO,1,5,10,2015-W08,2015-04-02
2015-03-19,MOYAMBA,2,6,11,2015-W08,2015-04-02
2015-03-19,PORT.LOKO,3,7,12,2015-W08,2015-04-02
2015-03-19,PUJEHUN,3,8,13,2015-W08,2015-04-02
2015-03-19,TONKOLILI,1,5,10,2015-W08,2015-04-02
2015-03-19,WESTERN,3,7,12,2015-W08,2015-04-02
2015-03-26,BO,0,3,6,2015-W08,2015-04-02
2015-03-26,BOMBALI,8,14,22,2015-W08,2015-04-02
2015-03-26,BONTHE,5.975000000000001,12,19,2015-W08,2015-04-02
2015-03-26,KAILAHUN,6,12,19,2015-W08,2015-04-02
2015-03-26,KAMBIA,5,11,17,2015-W08,2015-04-02
2015-03-26,KENEMA,6,12,19,2015-W08,2015-04-02
2015-03-26,KOINADUGU,5,11,18,2015-W08,2015-04-02
2015-03-26,KONO,3,8,13,2015-W08,2015-04-02
2015-03-26,MOYAMBA,4,9,15,2015-W08,2015-04-02
2015-03-26,PORT.LOKO,5,10,17,2015-W08,2015-04-02
2015-03-26,PUJEHUN,6,12,19,2015-W08,2015-04-02
2015-03-26,TONKOLILI,3,8,14,2015-W08,2015-04-02
2015-03-26,WESTERN,5,10,17,2015-W08,2015-04-02
2015-04-02,BO,0,4,8,2015-W08,2015-04-02
2015-04-02,BOMBALI,10,17,25,2015-W08,2015-04-02
2015-04-02,BONTHE,8,14,22,2015-W08,2015-04-02
2015-04-02,KAILAHUN,8,14,22,2015-W08,2015-04-02
2015-04-02,KAMBIA,7,13,20,2015-W08,2015-04-02
2015-04-02,KENEMA,8,15,22,2015-W08,2015-04-02
2015-04-02,KOINADUGU,7,13,21,2015-W08,2015-04-02
2015-04-02,KONO,4,9,15,2015-W08,2015-04-02
2015-04-02,MOYAMBA,5,11,17.024999999999977,2015-W08,2015-04-02
2015-04-02,PORT.LOKO,6,13,19.024999999999977,2015-W08,2015-04-02
2015-04-02,PUJEHUN,8,14,22,2015-W08,2015-04-02
2015-04-02,TONKOLILI,4,10,16,2015-W08,2015-04-02
2015-04-02,WESTERN,6,12,19,2015-W08,2015-04-02
