Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-09-03,BO,0,0,0,2015-W35,2015-10-08
2015-09-03,BOMBALI,0,0,0,2015-W35,2015-10-08
2015-09-03,BONTHE,0,0,0,2015-W35,2015-10-08
2015-09-03,KAILAHUN,0,0,0,2015-W35,2015-10-08
2015-09-03,KAMBIA,74,74,74,2015-W35,2015-10-08
2015-09-03,KENEMA,0,0,0,2015-W35,2015-10-08
2015-09-03,KOINADUGU,0,0,0,2015-W35,2015-10-08
2015-09-03,KONO,0,0,0,2015-W35,2015-10-08
2015-09-03,MOYAMBA,0,0,0,2015-W35,2015-10-08
2015-09-03,PORT.LOKO,0,0,0,2015-W35,2015-10-08
2015-09-03,PUJEHUN,0,0,0,2015-W35,2015-10-08
2015-09-03,TONKOLILI,0,0,0,2015-W35,2015-10-08
2015-09-03,WESTERN,0,0,0,2015-W35,2015-10-08
2015-09-10,BO,0,0,0,2015-W35,2015-10-08
2015-09-10,BOMBALI,0,0,0,2015-W35,2015-10-08
2015-09-10,BONTHE,0,0,0,2015-W35,2015-10-08
2015-09-10,KAILAHUN,0,0,0,2015-W35,2015-10-08
2015-09-10,KAMBIA,73,73,73,2015-W35,2015-10-08
2015-09-10,KENEMA,0,0,0,2015-W35,2015-10-08
2015-09-10,KOINADUGU,0,0,0,2015-W35,2015-10-08
2015-09-10,KONO,0,0,0,2015-W35,2015-10-08
2015-09-10,MOYAMBA,0,0,0,2015-W35,2015-10-08
2015-09-10,PORT.LOKO,0,0,0,2015-W35,2015-10-08
2015-09-10,PUJEHUN,0,0,0,2015-W35,2015-10-08
2015-09-10,TONKOLILI,0,0,0,2015-W35,2015-10-08
2015-09-10,WESTERN,0,0,0,2015-W35,2015-10-08
2015-09-17,BO,0,0,0,2015-W35,2015-10-08
2015-09-17,BOMBALI,0,0,0,2015-W35,2015-10-08
2015-09-17,BONTHE,0,0,0,2015-W35,2015-10-08
2015-09-17,KAILAHUN,0,0,0,2015-W35,2015-10-08
2015-09-17,KAMBIA,67,67,67,2015-W35,2015-10-08
2015-09-17,KENEMA,0,0,0,2015-W35,2015-10-08
2015-09-17,KOINADUGU,0,0,0,2015-W35,2015-10-08
2015-09-17,KONO,0,0,0,2015-W35,2015-10-08
2015-09-17,MOYAMBA,0,0,0,2015-W35,2015-10-08
2015-09-17,PORT.LOKO,0,0,0,2015-W35,2015-10-08
2015-09-17,PUJEHUN,0,0,0,2015-W35,2015-10-08
2015-09-17,TONKOLILI,0,0,0,2015-W35,2015-10-08
2015-09-17,WESTERN,0,0,0,2015-W35,2015-10-08
2015-09-24,BO,0,0,0,2015-W35,2015-10-08
2015-09-24,BOMBALI,0,0,0,2015-W35,2015-10-08
2015-09-24,BONTHE,0,0,0,2015-W35,2015-10-08
2015-09-24,KAILAHUN,0,0,0,2015-W35,2015-10-08
2015-09-24,KAMBIA,88,88,88,2015-W35,2015-10-08
2015-09-24,KENEMA,0,0,0,2015-W35,2015-10-08
2015-09-24,KOINADUGU,0,0,0,2015-W35,2015-10-08
2015-09-24,KONO,0,0,0,2015-W35,2015-10-08
2015-09-24,MOYAMBA,0,0,0,2015-W35,2015-10-08
2015-09-24,PORT.LOKO,0,0,0,2015-W35,2015-10-08
2015-09-24,PUJEHUN,0,0,0,2015-W35,2015-10-08
2015-09-24,TONKOLILI,0,0,0,2015-W35,2015-10-08
2015-09-24,WESTERN,0,0,0,2015-W35,2015-10-08
2015-10-01,BO,0,0,0,2015-W35,2015-10-08
2015-10-01,BOMBALI,0,0,0,2015-W35,2015-10-08
2015-10-01,BONTHE,0,0,0,2015-W35,2015-10-08
2015-10-01,KAILAHUN,0,0,0,2015-W35,2015-10-08
2015-10-01,KAMBIA,34,34,34,2015-W35,2015-10-08
2015-10-01,KENEMA,0,0,0,2015-W35,2015-10-08
2015-10-01,KOINADUGU,0,0,0,2015-W35,2015-10-08
2015-10-01,KONO,0,0,0,2015-W35,2015-10-08
2015-10-01,MOYAMBA,0,0,0,2015-W35,2015-10-08
2015-10-01,PORT.LOKO,0,0,0,2015-W35,2015-10-08
2015-10-01,PUJEHUN,0,0,0,2015-W35,2015-10-08
2015-10-01,TONKOLILI,0,0,0,2015-W35,2015-10-08
2015-10-01,WESTERN,0,0,0,2015-W35,2015-10-08
2015-10-08,BO,0,0,0,2015-W35,2015-10-08
2015-10-08,BOMBALI,0,0,0,2015-W35,2015-10-08
2015-10-08,BONTHE,0,0,0,2015-W35,2015-10-08
2015-10-08,KAILAHUN,0,0,0,2015-W35,2015-10-08
2015-10-08,KAMBIA,37,37,37,2015-W35,2015-10-08
2015-10-08,KENEMA,0,0,0,2015-W35,2015-10-08
2015-10-08,KOINADUGU,0,0,0,2015-W35,2015-10-08
2015-10-08,KONO,0,0,0,2015-W35,2015-10-08
2015-10-08,MOYAMBA,0,0,0,2015-W35,2015-10-08
2015-10-08,PORT.LOKO,0,0,0,2015-W35,2015-10-08
2015-10-08,PUJEHUN,0,0,0,2015-W35,2015-10-08
2015-10-08,TONKOLILI,0,0,0,2015-W35,2015-10-08
2015-10-08,WESTERN,0,0,0,2015-W35,2015-10-08
