week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORT LOKO,PUJEHUN,TONKOLILI,WESTERN,week_of,maxdate
2015-W03,2,8,0,0,8,1,0,13,4,31,0,3,47,2015-01-21,2015-04-09
2015-W04,0,6,0,0,10,0,0,1,0,6,0,6,36,2015-01-28,2015-04-09
2015-W05,0,0,0,0,1,4,1,5,3,36,0,1,29,2015-02-04,2015-04-09
2015-W06,0,3,0,0,11,0,0,5,2,28,0,0,27,2015-02-11,2015-04-09
2015-W07,0,0,0,0,7,0,1,0,0,13,0,4,71,2015-02-18,2015-04-09
2015-W08,0,20,0,0,8,1,0,1,1,15,0,0,17,2015-02-25,2015-04-09
2015-W09,0,22,0,0,6,0,1,1,0,16,0,1,34,2015-03-04,2015-04-09
