Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-04-02,BO,8,15,23,2015-W13,2015-05-07
2015-04-02,BOMBALI,6,12,19,2015-W13,2015-05-07
2015-04-02,BONTHE,8,15,23,2015-W13,2015-05-07
2015-04-02,KAILAHUN,8,15,23,2015-W13,2015-05-07
2015-04-02,KAMBIA,8,14,22,2015-W13,2015-05-07
2015-04-02,KENEMA,3,8,14,2015-W13,2015-05-07
2015-04-02,KOINADUGU,8,13,21,2015-W13,2015-05-07
2015-04-02,KONO,4,10,17,2015-W13,2015-05-07
2015-04-02,MOYAMBA,8,15,23,2015-W13,2015-05-07
2015-04-02,PORT.LOKO,7,13,19,2015-W13,2015-05-07
2015-04-02,PUJEHUN,8,15,23,2015-W13,2015-05-07
2015-04-02,TONKOLILI,1,4,9,2015-W13,2015-05-07
2015-04-02,WESTERN,6,12,19,2015-W13,2015-05-07
2015-04-09,BO,2,6,11,2015-W13,2015-05-07
2015-04-09,BOMBALI,1,5,9,2015-W13,2015-05-07
2015-04-09,BONTHE,2,6,11,2015-W13,2015-05-07
2015-04-09,KAILAHUN,2,6,11,2015-W13,2015-05-07
2015-04-09,KAMBIA,2,6,10,2015-W13,2015-05-07
2015-04-09,KENEMA,0,3,7,2015-W13,2015-05-07
2015-04-09,KOINADUGU,2,5,10,2015-W13,2015-05-07
2015-04-09,KONO,1,4,8,2015-W13,2015-05-07
2015-04-09,MOYAMBA,2,6,11,2015-W13,2015-05-07
2015-04-09,PORT.LOKO,1,5,10,2015-W13,2015-05-07
2015-04-09,PUJEHUN,2,6,11,2015-W13,2015-05-07
2015-04-09,TONKOLILI,0,2,4,2015-W13,2015-05-07
2015-04-09,WESTERN,1,5,9,2015-W13,2015-05-07
2015-04-16,BO,2,6,11,2015-W13,2015-05-07
2015-04-16,BOMBALI,1,5,9,2015-W13,2015-05-07
2015-04-16,BONTHE,2,6,11,2015-W13,2015-05-07
2015-04-16,KAILAHUN,2,6,11,2015-W13,2015-05-07
2015-04-16,KAMBIA,2,6,11,2015-W13,2015-05-07
2015-04-16,KENEMA,0,3,7,2015-W13,2015-05-07
2015-04-16,KOINADUGU,2,5,10,2015-W13,2015-05-07
2015-04-16,KONO,1,4,8,2015-W13,2015-05-07
2015-04-16,MOYAMBA,2,6,12,2015-W13,2015-05-07
2015-04-16,PORT.LOKO,1,5,10,2015-W13,2015-05-07
2015-04-16,PUJEHUN,2,6,11,2015-W13,2015-05-07
2015-04-16,TONKOLILI,0,2,5,2015-W13,2015-05-07
2015-04-16,WESTERN,1,5,9,2015-W13,2015-05-07
2015-04-23,BO,4,9,16,2015-W13,2015-05-07
2015-04-23,BOMBALI,3,7,13,2015-W13,2015-05-07
2015-04-23,BONTHE,4,9,16,2015-W13,2015-05-07
2015-04-23,KAILAHUN,4,10,16,2015-W13,2015-05-07
2015-04-23,KAMBIA,4,9,15,2015-W13,2015-05-07
2015-04-23,KENEMA,1,5,10,2015-W13,2015-05-07
2015-04-23,KOINADUGU,3.9750000000000014,8,14,2015-W13,2015-05-07
2015-04-23,KONO,2,6,12,2015-W13,2015-05-07
2015-04-23,MOYAMBA,4,10,16,2015-W13,2015-05-07
2015-04-23,PORT.LOKO,3,8,14,2015-W13,2015-05-07
2015-04-23,PUJEHUN,4,10,15,2015-W13,2015-05-07
2015-04-23,TONKOLILI,0,3,6,2015-W13,2015-05-07
2015-04-23,WESTERN,3,8,13,2015-W13,2015-05-07
2015-04-30,BO,2,6,11,2015-W13,2015-05-07
2015-04-30,BOMBALI,1,5,10,2015-W13,2015-05-07
2015-04-30,BONTHE,2,6,11,2015-W13,2015-05-07
2015-04-30,KAILAHUN,2,6,11,2015-W13,2015-05-07
2015-04-30,KAMBIA,2,6,11,2015-W13,2015-05-07
2015-04-30,KENEMA,0,3,8,2015-W13,2015-05-07
2015-04-30,KOINADUGU,2,6,11,2015-W13,2015-05-07
2015-04-30,KONO,1,4,8,2015-W13,2015-05-07
2015-04-30,MOYAMBA,2,6,11,2015-W13,2015-05-07
2015-04-30,PORT.LOKO,2,5,10,2015-W13,2015-05-07
2015-04-30,PUJEHUN,2,6,11,2015-W13,2015-05-07
2015-04-30,TONKOLILI,0,2,5,2015-W13,2015-05-07
2015-04-30,WESTERN,1,5,10,2015-W13,2015-05-07
2015-05-07,BO,3,7,13,2015-W13,2015-05-07
2015-05-07,BOMBALI,2,6,11,2015-W13,2015-05-07
2015-05-07,BONTHE,3,8,13,2015-W13,2015-05-07
2015-05-07,KAILAHUN,3,7,14,2015-W13,2015-05-07
2015-05-07,KAMBIA,3,7,13,2015-W13,2015-05-07
2015-05-07,KENEMA,1,4,8,2015-W13,2015-05-07
2015-05-07,KOINADUGU,2,7,12,2015-W13,2015-05-07
2015-05-07,KONO,1,5,10,2015-W13,2015-05-07
2015-05-07,MOYAMBA,3,7.5,13,2015-W13,2015-05-07
2015-05-07,PORT.LOKO,2,6,12,2015-W13,2015-05-07
2015-05-07,PUJEHUN,3,8,13.024999999999977,2015-W13,2015-05-07
2015-05-07,TONKOLILI,0,2,5,2015-W13,2015-05-07
2015-05-07,WESTERN,2,6,11,2015-W13,2015-05-07
