ADM0,district,Centroid_Lon,Centroid_Lat,Pop
Angola,Bengo,13.840277777777771,-8.867717889908263,372508
Angola,Benguela,13.411311152498968,-12.588043803767846,2084164
Angola,Bié,16.93846210125841,-12.327013052872971,1375016
Angola,Cabinda,12.197634902106444,-5.564152019757088,698504
Angola,Cuando Cubango,18.375,-15.554720279720286,514844
Angola,Cuanza Norte,15.310638661202177,-8.966347168484006,439627
Angola,Cuanza Sul,14.63732087227416,-11.020023545240505,1842522
Angola,Cunene,15.081199186991881,-16.728124151045904,987917
Angola,Huíla,13.507615196349036,-14.901524287151403,2420686
Angola,Huambo,15.74434972636999,-12.752008364106459,1948770
Angola,Luanda,13.256157801814453,-8.833400838688647,6695103
Angola,Lunda Norte,20.736691038620194,-8.425902657423464,838694
Angola,Lunda Sul,20.41115883062085,-9.696563589935238,530712
Angola,Malanje,16.537474686107714,-9.490027799327649,979840
Angola,Moxico,20.491666666666674,-11.911698717948724,744332
Angola,Namibe,12.154984036017623,-15.194332253734842,486378
Angola,Uíge,15.191666666666663,-7.130233486943169,1465215
Angola,Zaire,14.24732896882378,-6.26765710799269,575662
Central African Republic,Bamingui-Bangoran,20.612516512549547,8.555959137343919,67470
Central African Republic,Bangui,18.556611773411987,4.380089833712432,357001
Central African Republic,Basse-Kotto,21.26987179487182,4.678302394404085,342117
Central African Republic,Haut-Mbomou,26.476541593949975,5.366824494949498,64507
Central African Republic,Haute-Kotto,21.985116378389932,6.549653677719178,118001
Central African Republic,Kémo,19.12682926829268,5.812923351158645,166133
Central African Republic,Lobaye,17.99444444444444,4.173463810279458,369490
Central African Republic,Mambéré-Kadéï,15.615476190476187,4.517898322851153,494735
Central African Republic,Mbomou,22.87806176783812,4.81773346463153,235228
Central African Republic,Nana-Grébizi,19.182656395891684,6.997443840579706,150620
Central African Republic,Nana-Mambéré,15.601984581329674,5.926486723913229,315437
Central African Republic,Ombella-M'Poko,18.53437055495837,4.411367703485027,1084425
Central African Republic,Ouaka,20.673113905325437,5.768388048492653,384956
Central African Republic,Ouham-Pendé,15.648293357933596,7.0193715552360345,555642
Central African Republic,Ouham,17.857142857142833,6.785729191748942,488039
Central African Republic,Sangha-Mbaéré,16.072714796374328,3.507765357065324,155669
Central African Republic,Vakaga,22.78761222429327,10.27706670274658,64118
Republic of Congo,Bouenza,13.281503864257076,-4.175320485182951,395141
Republic of Congo,Brazzaville,15.283644236381605,-4.262821578541434,1450566
