"","country","rel_prob"
"114","Jersey",1.64159420995369e-05
"1","Aruba",1.56571686132227e-05
"241","Virgin Islands-us",1.46070654694696e-05
"14","Antigua and Barbuda",1.45111475524464e-05
"238","Saint Vincent and the Grenadines",1.44706402802642e-05
"186","French Polynesia",1.35557629781422e-05
"104","Isle of Man",1.2688409380826e-05
"142","Maldives",1.2041524459697e-05
"161","New Caledonia",1.19314239301705e-05
"82","Guernsey",1.04819765482391e-05
"243","Vanuatu",1.0079333949498e-05
"62","Dominica",1.00537002457988e-05
"214","Seychelles",8.90560368699151e-06
"245","Samoa",8.56973381883394e-06
"95","Guam",8.41812952559366e-06
"84","Gibraltar",7.77485311610293e-06
"31","Bermuda",7.48079629562144e-06
"122","Saint Kitts and Nevis",7.40510794738236e-06
"130","Liechtenstein",6.96328328860351e-06
"77","Faroe Islands",6.33368768584398e-06
"213","Sint Maarten",6.24481561670546e-06
"216","Turks and Caicos Islands",6.0706379403773e-06
"202","San Marino",6.00748906766935e-06
"57","Cayman Islands",5.67609702911868e-06
"92","Greenland",5.38991364713119e-06
"137","Saint-Martin",4.92760992706513e-06
"224","Tonga",4.61930951620464e-06
"240","British Virgin Islands",4.05734790677385e-06
"78","Micronesia",3.807802997042e-06
"139","Monaco",3.71563925001342e-06
"5","Åland",3.63276807725739e-06
"21","Bonaire- Sint Eustatius and Saba",3.50533918808551e-06
"246","Akrotiri and Dhekelia",3.00825884499359e-06
"151","Northern Mariana Islands",2.74116455559694e-06
"197","Saint Helena",2.42065269219315e-06
"4","Anguilla",2.25502462099071e-06
"11","American Samoa",2.13622759768027e-06
"121","Kiribati",2.1103879538608e-06
"28","Saint-Barthélemy",1.11240614141736e-06
"178","Palau",9.24845155786432e-07
"144","Marshall Islands",8.38062349229487e-07
"154","Montserrat",8.22909170060628e-07
"204","Saint Pierre and Miquelon",6.08173582447292e-07
"49","Cook Islands",4.30808622443085e-07
"244","Wallis and Futuna",3.85140627464214e-07
"170","Nauru",3.56519720915777e-07
"75","Falkland Islands",3.41103662863593e-07
"228","Tuvalu",2.06396837610889e-07
"198","Svalbard and Jan Mayen",2.02639234726069e-07
"163","Norfolk Island",1.01752826800589e-07
"56","Christmas Island",9.14174917954612e-08
"166","Niue",6.0728934014543e-08
"221","Tokelau",2.21089125883543e-08
"41","Cocos Islands",1.60361458610784e-08
"175","Pitcairn Islands",3.22748056712961e-09
"233","United States Minor Outlying Islands",8.47738211860723e-10
"12","Antarctica",0
"13","French Southern Territories",0
"37","Bouvet Island",0
"98","Heard Island and McDonald Islands",0
"106","British Indian Ocean Territory",0
"196","South Georgia and the South Sandwich Islands",0
"237","Vatican City",0
"248","Clipperton Island",0
"200","Sierra Leone",NA
