"","country","rel_prob"
"85","Guinea",0.389137437981758
"164","Nigeria",0.0851273418605299
"45","Côte d'Ivoire",0.0665433173524157
"127","Liberia",0.05940073124322
"146","Mali",0.0406413965241062
"194","Senegal",0.0354684886584046
"83","Ghana",0.0257384996209562
"105","India",0.0201819676920198
"22","Burkina Faso",0.0188720010840953
"33","Brazil",0.0168136450924618
"44","China",0.0143023481685295
"88","Guinea-Bissau",0.0137622864617809
"47","Democratic Republic of the Congo",0.0118887078684922
"235","United States",0.00833743162277359
"87","Gambia",0.00785381800319194
"153","Mauritania",0.00763147317564937
"162","Niger",0.00738992914865151
"138","Morocco",0.00738044714268721
"20","Benin",0.00640288429740629
"46","Cameroon",0.00623557990275903
"70","Spain",0.00619300072734519
"67","Egypt",0.00590377482038505
"65","Algeria",0.00558552830403344
"72","Ethiopia",0.00550584344214952
"60","Germany",0.00545033597195086
"218","Togo",0.00540089933029231
"76","France",0.00528061321640946
"112","Italy",0.00525164154623581
"80","United Kingdom",0.00458041996767276
"173","Pakistan",0.00445685148626955
"227","Turkey",0.00443573163460725
"3","Angola",0.00319657050748564
"190","Russia",0.00314212524372029
"108","Iran",0.00287356082121893
"252","South Africa",0.00264979760070489
"230","Tanzania",0.00259621391611123
"118","Kenya",0.00257922846232737
"143","Mexico",0.00256567855154286
"193","Sudan",0.00253967826192689
"23","Bangladesh",0.00252034147348019
"103","Indonesia",0.00251978607775972
"231","Uganda",0.00249203764931138
"232","Ukraine",0.00243601364774478
"180","Poland",0.00221575672433804
"217","Chad",0.00187543956200488
"50","Colombia",0.00185154218401484
"9","Argentina",0.00171117283600223
"183","Portugal",0.00153359843688722
"239","Venezuela",0.0014525052463699
"192","Saudi Arabia",0.00144517403512086
"109","Iraq",0.00138799642292954
"226","Tunisia",0.00128770367162537
"189","Romania",0.00126590292855734
"40","Canada",0.00124749128453311
"251","Yemen",0.00122590106153293
"152","Mozambique",0.00118470110201748
"167","Netherlands",0.0011673459846783
"116","Japan",0.00108912026263415
"206","South Sudan",0.0010751298669979
"176","Peru",0.000996197166461742
"242","Vietnam",0.000990707998762376
"157","Malawi",0.000960472845921227
"191","Rwanda",0.000937342615714616
"215","Syria",0.000887460650086042
"253","Zambia",0.000885771370215017
"177","Philippines",0.00082327206301527
"19","Belgium",0.000821369117603076
"254","Zimbabwe",0.000818765078108804
"219","Thailand",0.00080568032427924
"39","Central African Republic",0.000803984520314461
"141","Madagascar",0.000793303524258257
"18","Burundi",0.000791802809614776
"90","Greece",0.000769113516001764
"2","Afghanistan",0.000764490807772387
"148","Myanmar",0.000738703134380808
"48","Republic of Congo",0.000716593541377045
"236","Uzbekistan",0.000664763643472718
"59","Czech Republic",0.000663046507631744
"42","Switzerland",0.000648683478523832
"102","Hungary",0.000635871796922181
"128","Libya",0.000604103182332439
"16","Austria",0.000603297887286379
"43","Chile",0.000532698466413221
"169","Nepal",0.000532226183145246
"66","Ecuador",0.000518636716617133
"115","Jordan",0.000489429181458813
"205","Serbia",0.000486454365619462
"64","Dominican Republic",0.000476689304520371
"123","South Korea",0.000475666650115169
"24","Bulgaria",0.000474587025766513
"52","Cape Verde",0.000473980407348963
"203","Somalia",0.000459850087534793
"111","Israel",0.000459240214036912
"32","Bolivia",0.00045872440718985
"211","Sweden",0.000448441160090529
"29","Belarus",0.000447071780027474
"79","Gabon",0.000431073358991648
"101","Haiti",0.000428202256148372
"126","Lebanon",0.000400146319056788
"54","Cuba",0.000379240264525985
"131","Sri Lanka",0.000373038031739993
"93","Guatemala",0.000372715942888178
"68","Eritrea",0.00035361680410065
"117","Kazakhstan",0.000343157510813354
"107","Ireland",0.000342877577001193
"17","Azerbaijan",0.000342623938652479
"158","Malaysia",0.000331215305041682
"184","Paraguay",0.000328574575996007
"209","Slovakia",0.000323524964894706
"63","Denmark",0.000300343938343682
"100","Croatia",0.000293992534449861
"185","Palestina",0.000275131254008286
"27","Bosnia and Herzegovina",0.00027332996537715
"182","North Korea",0.000253060738997822
"168","Norway",0.000238954914491383
"99","Honduras",0.000235269770025023
"6","Albania",0.000227648615738875
"229","Taiwan",0.000218909429757018
"73","Finland",0.000217004711745671
"69","Western Sahara",0.00020975689408799
"160","Namibia",0.00020594997995527
"81","Georgia",0.00019542045923098
"220","Tajikistan",0.000193475570252532
"181","Puerto Rico",0.000189618890205089
"140","Moldova",0.00018707382175616
"89","Equatorial Guinea",0.000185645232856294
"8","United Arab Emirates",0.000183127734284456
"120","Cambodia",0.000171599211046085
"165","Nicaragua",0.000162972851542131
"201","El Salvador",0.000159801957751071
"222","Turkmenistan",0.000153501945609205
"145","Macedonia",0.000144804401309903
"210","Slovenia",0.000143385059959188
"53","Costa Rica",0.000142720337753975
"15","Australia",0.000142312083863633
"133","Lithuania",0.000137990223639422
"234","Uruguay",0.000133287193911047
"249","Kosovo",0.000132828365986544
"38","Botswana",0.000125189169892078
"10","Armenia",0.000123569339372165
"174","Panama",0.000120207476740072
"119","Kyrgyzstan",0.000117950290468866
"113","Jamaica",0.000107722098286665
"124","Kuwait",0.0001072201369097
"172","Oman",9.61823344474846e-05
"132","Lesotho",9.61340804282482e-05
"135","Latvia",9.06770266522884e-05
"125","Laos",8.13285631993401e-05
"187","Qatar",7.85288974952218e-05
"225","Trinidad and Tobago",7.74204161612355e-05
"97","Hong Kong",7.17040870164443e-05
"212","Swaziland",6.76864698279155e-05
"195","Singapore",6.02060054206024e-05
"71","Estonia",5.25490415353296e-05
"207","São Tomé and Príncipe",5.20058793808217e-05
"208","Suriname",5.01106318481262e-05
"96","Guyana",4.99978849436703e-05
"58","Cyprus",4.81024618539932e-05
"149","Montenegro",4.55246363919745e-05
"25","Bahrain",4.3476801356857e-05
"134","Luxembourg",4.21620842265511e-05
"150","Mongolia",4.12349866939534e-05
"147","Malta",4.11645970138237e-05
"179","Papua New Guinea",3.72387372980388e-05
"61","Djibouti",3.59785530582731e-05
"156","Mauritius",3.37941560555699e-05
"51","Comoros",2.84248488790924e-05
"171","New Zealand",2.78452810986705e-05
"94","French Guiana",2.39113383307499e-05
"86","Guadeloupe",2.34390467029191e-05
"155","Martinique",2.30818111576193e-05
