Date,BEYLA,BO,BOFFA,BOKE,BOMBALI,BOMI,BONG,BONTHE,CONAKRY,COYAH,DABOLA,DALABA,DINGUIRAYE,DUBREKA,FARANAH,FORECARIAH,FRIA,GBAPOLU,GRANDBASSA,GRANDCAPEMOUNT,GRANDGEDEH,GRANDKRU,GUECKEDOU,KAILAHUN,KAMBIA,KANKAN,KENEMA,KEROUANE,KINDIA,KISSIDOUGOU,KOINADUGU,KONO,KOUROUSSA,LOFA,LOLA,MACENTA,MALI,MARGIBI,MARYLAND,MONTSERRADO,MOYAMBA,NZEREKORE,NIMBA,PITA,PORTLOKO,PUJEHUN,RIVERCESS,RIVERGEE,SIGUIRI,SINOE,TELIMELE,TONKOLILI,TOUGUE,WESTERN,YAMOU
2015-01-14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,13,0,0,0,0,0,2,0,6,1,0,0,0,12,6,0,0,0,0,0,1,0,17,0
2015-01-15,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,5,0,2,0,1,0,3,8,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,27,0
2015-01-16,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,4,6,0,0,0,0,0,0,0,30,0
2015-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,9,0,0,1,0,0,0,0,3,0,1,0,0,6,7,0,0,0,0,0,3,0,30,0
2015-01-18,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,0,30,0
2015-01-19,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,21,0
2015-01-20,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,39,0
2015-01-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,24,0
2015-01-22,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,3,0,0,3,0,0,0,0,0,2,1,0,0,8,4,0,0,0,0,0,1,0,35,0
2015-01-23,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,26,0
2015-01-24,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,0,1,0,20,0
2015-01-25,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,2,0,22,0
2015-01-26,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,17,3,0,0,0,0,0,0,0,20,0
2015-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,10,4,0,0,0,0,0,1,0,27,0
2015-01-28,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,25,0
2015-01-29,0,0,0,1,1,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,22,0
2015-01-30,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,18,0
2015-01-31,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,2,0,0,3,0,0,0,0,0,2,0,0,0,8,4,0,0,0,0,0,1,1,18,0
2015-02-01,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,9,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,1,0,12,0
2015-02-02,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,0,0,2,0,0,0,0,0,1,0,0,0,7,4,0,0,0,0,0,1,0,31,0
2015-02-03,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,2,0,18,0
2015-02-04,0,0,0,0,2,0,0,0,3,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,25,0
2015-02-05,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,33,0
2015-02-06,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,26,0
2015-02-07,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,27,0
2015-02-08,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,33,0
2015-02-09,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,24,0
2015-02-10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,0,2,0,36,0
2015-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,2,0,16,0
2015-02-12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,17,0
2015-02-13,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,1,0,22,0
2015-02-14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,11,5,0,0,0,0,0,1,0,15,0
2015-02-15,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,6,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,15,0
2015-02-16,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,17,0
2015-02-17,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,25,0
2015-02-18,0,0,1,0,4,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,28,0
2015-02-19,0,0,1,0,10,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,22,0
2015-02-20,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,0,33,0
