Date,district,incid
2014-06-19,BONTHE,0
2014-06-26,BONTHE,0
2014-07-03,BONTHE,0
2014-07-10,BONTHE,0
2014-07-17,BONTHE,1
2014-07-24,BONTHE,0
2014-07-31,BONTHE,0
2014-08-07,BONTHE,0
2014-08-14,BONTHE,0
2014-08-21,BONTHE,0
2014-08-28,BONTHE,1
2014-09-04,BONTHE,0
2014-09-11,BONTHE,0
2014-09-18,BONTHE,0
2014-09-25,BONTHE,0
2014-10-02,BONTHE,0
2014-10-09,BONTHE,1
2014-10-16,BONTHE,0
2014-10-23,BONTHE,0
2014-10-30,BONTHE,0
2014-11-06,BONTHE,0
2014-11-13,BONTHE,0
2014-11-20,BONTHE,0
2014-11-27,BONTHE,0
2014-12-04,BONTHE,0
2014-12-11,BONTHE,0
2014-12-18,BONTHE,0
2014-12-25,BONTHE,0
2015-01-01,BONTHE,0
2015-01-08,BONTHE,1
2015-01-15,BONTHE,0
2015-01-22,BONTHE,0
2015-01-29,BONTHE,0
2015-02-05,BONTHE,0
2015-02-12,BONTHE,0
2015-02-19,BONTHE,0
2015-02-26,BONTHE,0
2015-03-05,BONTHE,0
2015-03-12,BONTHE,0
2015-03-19,BONTHE,0
2015-03-26,BONTHE,0
2015-04-02,BONTHE,0
2015-04-09,BONTHE,0
2015-04-16,BONTHE,1
2015-04-23,BONTHE,0
2015-04-30,BONTHE,0
2015-05-07,BONTHE,0
2015-05-14,BONTHE,0
2015-05-21,BONTHE,0
2015-05-28,BONTHE,0
2015-06-04,BONTHE,0
2015-06-11,BONTHE,0
2015-06-18,BONTHE,0
2015-06-25,BONTHE,0
2015-07-02,BONTHE,1
2015-07-09,BONTHE,0
2015-07-16,BONTHE,0
2015-07-23,BONTHE,0
2015-07-30,BONTHE,0
2015-08-06,BONTHE,0
2015-08-13,BONTHE,0
2013-12-26,KAILAHUN,0
2014-01-02,KAILAHUN,0
2014-01-09,KAILAHUN,0
2014-01-16,KAILAHUN,0
2014-01-23,KAILAHUN,0
2014-01-30,KAILAHUN,0
2014-02-06,KAILAHUN,0
2014-02-13,KAILAHUN,0
2014-02-20,KAILAHUN,0
2014-02-27,KAILAHUN,0
2014-03-06,KAILAHUN,0
2014-03-13,KAILAHUN,0
2014-03-20,KAILAHUN,0
2014-03-27,KAILAHUN,0
2014-04-03,KAILAHUN,0
2014-04-10,KAILAHUN,0
2014-04-17,KAILAHUN,0
2014-04-24,KAILAHUN,0
2014-05-01,KAILAHUN,0
2014-05-08,KAILAHUN,0
2014-05-15,KAILAHUN,2
2014-05-22,KAILAHUN,16
2014-05-29,KAILAHUN,39
2014-06-05,KAILAHUN,37
2014-06-12,KAILAHUN,77
2014-06-19,KAILAHUN,38
2014-06-26,KAILAHUN,66
2014-07-03,KAILAHUN,60
2014-07-10,KAILAHUN,60
2014-07-17,KAILAHUN,44
2014-07-24,KAILAHUN,47
2014-07-31,KAILAHUN,65
2014-08-07,KAILAHUN,29
2014-08-14,KAILAHUN,21
2014-08-21,KAILAHUN,32
2014-08-28,KAILAHUN,24
2014-09-04,KAILAHUN,14
2014-09-11,KAILAHUN,17
2014-09-18,KAILAHUN,14
2014-09-25,KAILAHUN,15
2014-10-02,KAILAHUN,10
2014-10-09,KAILAHUN,30
2014-10-16,KAILAHUN,23
2014-10-23,KAILAHUN,32
2014-10-30,KAILAHUN,21
2014-11-06,KAILAHUN,12
2014-11-13,KAILAHUN,6
2014-11-20,KAILAHUN,13
2014-11-27,KAILAHUN,7
2014-12-04,KAILAHUN,17
2014-12-11,KAILAHUN,3
2014-12-18,KAILAHUN,8
2014-12-25,KAILAHUN,3
2015-01-01,KAILAHUN,4
2015-01-08,KAILAHUN,4
2015-01-15,KAILAHUN,0
2015-01-22,KAILAHUN,3
2015-01-29,KAILAHUN,0
2015-02-05,KAILAHUN,0
2015-02-12,KAILAHUN,0
2015-02-19,KAILAHUN,1
2015-02-26,KAILAHUN,2
2015-03-05,KAILAHUN,1
2015-03-12,KAILAHUN,0
2015-03-19,KAILAHUN,2
2015-03-26,KAILAHUN,0
2015-04-02,KAILAHUN,0
2015-04-09,KAILAHUN,1
2015-04-16,KAILAHUN,0
2015-04-23,KAILAHUN,0
2015-04-30,KAILAHUN,0
2015-05-07,KAILAHUN,0
2015-05-14,KAILAHUN,0
2015-05-21,KAILAHUN,0
2015-05-28,KAILAHUN,0
2015-06-04,KAILAHUN,0
2015-06-11,KAILAHUN,0
2015-06-18,KAILAHUN,0
2015-06-25,KAILAHUN,0
2015-07-02,KAILAHUN,0
2015-07-09,KAILAHUN,0
2015-07-16,KAILAHUN,0
2015-07-23,KAILAHUN,0
2015-07-30,KAILAHUN,0
2015-08-06,KAILAHUN,0
2015-08-13,KAILAHUN,0
2013-12-26,KAMBIA,0
2014-01-02,KAMBIA,0
2014-01-09,KAMBIA,0
2014-01-16,KAMBIA,0
2014-01-23,KAMBIA,0
2014-01-30,KAMBIA,0
2014-02-06,KAMBIA,0
2014-02-13,KAMBIA,0
2014-02-20,KAMBIA,0
2014-02-27,KAMBIA,0
2014-03-06,KAMBIA,0
2014-03-13,KAMBIA,0
2014-03-20,KAMBIA,0
2014-03-27,KAMBIA,0
2014-04-03,KAMBIA,0
2014-04-10,KAMBIA,0
2014-04-17,KAMBIA,0
2014-04-24,KAMBIA,0
2014-05-01,KAMBIA,0
2014-05-08,KAMBIA,0
2014-05-15,KAMBIA,0
2014-05-22,KAMBIA,0
2014-05-29,KAMBIA,1
2014-06-05,KAMBIA,0
2014-06-12,KAMBIA,0
2014-06-19,KAMBIA,0
2014-06-26,KAMBIA,0
2014-07-03,KAMBIA,0
2014-07-10,KAMBIA,0
2014-07-17,KAMBIA,0
2014-07-24,KAMBIA,0
2014-07-31,KAMBIA,0
2014-08-07,KAMBIA,0
2014-08-14,KAMBIA,0
2014-08-21,KAMBIA,0
2014-08-28,KAMBIA,1
2014-09-04,KAMBIA,6
2014-09-11,KAMBIA,10
2014-09-18,KAMBIA,12
2014-09-25,KAMBIA,5
2014-10-02,KAMBIA,5
2014-10-09,KAMBIA,2
2014-10-16,KAMBIA,3
2014-10-23,KAMBIA,11
2014-10-30,KAMBIA,11
2014-11-06,KAMBIA,14
2014-11-13,KAMBIA,19
2014-11-20,KAMBIA,12
2014-11-27,KAMBIA,12
2014-12-04,KAMBIA,13
2014-12-11,KAMBIA,15
2014-12-18,KAMBIA,16
2014-12-25,KAMBIA,12
2015-01-01,KAMBIA,41
2015-01-08,KAMBIA,10
2015-01-15,KAMBIA,21
2015-01-22,KAMBIA,13
2015-01-29,KAMBIA,23
2015-02-05,KAMBIA,22
2015-02-12,KAMBIA,22
2015-02-19,KAMBIA,10
2015-02-26,KAMBIA,6
2015-03-05,KAMBIA,7
2015-03-12,KAMBIA,13
2015-03-19,KAMBIA,10
2015-03-26,KAMBIA,17
2015-04-02,KAMBIA,14
2015-04-09,KAMBIA,13
2015-04-16,KAMBIA,19
2015-04-23,KAMBIA,7
2015-04-30,KAMBIA,12
2015-05-07,KAMBIA,3
2015-05-14,KAMBIA,4
2015-05-21,KAMBIA,8
2015-05-28,KAMBIA,19
2015-06-04,KAMBIA,20
2015-06-11,KAMBIA,6
2015-06-18,KAMBIA,8
2015-06-25,KAMBIA,12
2015-07-02,KAMBIA,9
2015-07-09,KAMBIA,13
2015-07-16,KAMBIA,4
2015-07-23,KAMBIA,6
2015-07-30,KAMBIA,3
2015-08-06,KAMBIA,6
2015-08-13,KAMBIA,10
2013-12-26,KENEMA,0
2014-01-02,KENEMA,0
2014-01-09,KENEMA,0
2014-01-16,KENEMA,0
2014-01-23,KENEMA,0
2014-01-30,KENEMA,0
2014-02-06,KENEMA,0
2014-02-13,KENEMA,0
2014-02-20,KENEMA,0
2014-02-27,KENEMA,0
2014-03-06,KENEMA,0
2014-03-13,KENEMA,0
2014-03-20,KENEMA,0
2014-03-27,KENEMA,0
2014-04-03,KENEMA,0
2014-04-10,KENEMA,0
2014-04-17,KENEMA,0
2014-04-24,KENEMA,0
2014-05-01,KENEMA,0
2014-05-08,KENEMA,2
2014-05-15,KENEMA,0
2014-05-22,KENEMA,0
2014-05-29,KENEMA,2
2014-06-05,KENEMA,4
2014-06-12,KENEMA,15
2014-06-19,KENEMA,16
2014-06-26,KENEMA,37
2014-07-03,KENEMA,17
2014-07-10,KENEMA,33
2014-07-17,KENEMA,38
2014-07-24,KENEMA,37
2014-07-31,KENEMA,50
2014-08-07,KENEMA,81
2014-08-14,KENEMA,47
2014-08-21,KENEMA,45
2014-08-28,KENEMA,32
2014-09-04,KENEMA,21
2014-09-11,KENEMA,22
2014-09-18,KENEMA,22
2014-09-25,KENEMA,14
2014-10-02,KENEMA,19
2014-10-09,KENEMA,28
2014-10-16,KENEMA,14
2014-10-23,KENEMA,15
2014-10-30,KENEMA,15
2014-11-06,KENEMA,14
2014-11-13,KENEMA,8
2014-11-20,KENEMA,9
2014-11-27,KENEMA,12
2014-12-04,KENEMA,10
2014-12-11,KENEMA,8
2014-12-18,KENEMA,7
2014-12-25,KENEMA,11
2015-01-01,KENEMA,8
2015-01-08,KENEMA,7
2015-01-15,KENEMA,7
2015-01-22,KENEMA,20
2015-01-29,KENEMA,17
2015-02-05,KENEMA,21
2015-02-12,KENEMA,29
2015-02-19,KENEMA,7
2015-02-26,KENEMA,23
2015-03-05,KENEMA,23
2015-03-12,KENEMA,27
2015-03-19,KENEMA,56
2015-03-26,KENEMA,17
2015-04-02,KENEMA,11
2015-04-09,KENEMA,12
2015-04-16,KENEMA,6
2015-04-23,KENEMA,19
2015-04-30,KENEMA,21
2015-05-07,KENEMA,15
2015-05-14,KENEMA,26
2015-05-21,KENEMA,18
2015-05-28,KENEMA,3
2015-06-04,KENEMA,7
2015-06-11,KENEMA,16
2015-06-18,KENEMA,17
2015-06-25,KENEMA,1
2015-07-02,KENEMA,3
2015-07-09,KENEMA,1
2015-07-16,KENEMA,0
2015-07-23,KENEMA,0
2015-07-30,KENEMA,0
2015-08-06,KENEMA,0
2015-08-13,KENEMA,1
2013-12-26,KOINADUGU,0
2014-01-02,KOINADUGU,0
2014-01-09,KOINADUGU,0
2014-01-16,KOINADUGU,0
2014-01-23,KOINADUGU,0
2014-01-30,KOINADUGU,0
2014-02-06,KOINADUGU,0
2014-02-13,KOINADUGU,0
2014-02-20,KOINADUGU,0
2014-02-27,KOINADUGU,0
2014-03-06,KOINADUGU,0
2014-03-13,KOINADUGU,0
2014-03-20,KOINADUGU,0
2014-03-27,KOINADUGU,0
2014-04-03,KOINADUGU,0
2014-04-10,KOINADUGU,0
2014-04-17,KOINADUGU,0
2014-04-24,KOINADUGU,0
2014-05-01,KOINADUGU,0
2014-05-08,KOINADUGU,1
2014-05-15,KOINADUGU,1
2014-05-22,KOINADUGU,0
2014-05-29,KOINADUGU,0
2014-06-05,KOINADUGU,0
2014-06-12,KOINADUGU,0
2014-06-19,KOINADUGU,0
2014-06-26,KOINADUGU,0
2014-07-03,KOINADUGU,0
2014-07-10,KOINADUGU,0
2014-07-17,KOINADUGU,0
2014-07-24,KOINADUGU,0
2014-07-31,KOINADUGU,1
2014-08-07,KOINADUGU,1
2014-08-14,KOINADUGU,1
2014-08-21,KOINADUGU,1
2014-08-28,KOINADUGU,1
2014-09-04,KOINADUGU,1
2014-09-11,KOINADUGU,4
2014-09-18,KOINADUGU,0
2014-09-25,KOINADUGU,3
2014-10-02,KOINADUGU,8
2014-10-09,KOINADUGU,27
2014-10-16,KOINADUGU,19
2014-10-23,KOINADUGU,23
2014-10-30,KOINADUGU,36
2014-11-06,KOINADUGU,15
2014-11-13,KOINADUGU,6
2014-11-20,KOINADUGU,6
2014-11-27,KOINADUGU,3
2014-12-04,KOINADUGU,5
2014-12-11,KOINADUGU,3
2014-12-18,KOINADUGU,9
2014-12-25,KOINADUGU,4
2015-01-01,KOINADUGU,3
2015-01-08,KOINADUGU,3
2015-01-15,KOINADUGU,12
2015-01-22,KOINADUGU,0
2015-01-29,KOINADUGU,1
2015-02-05,KOINADUGU,1
2015-02-12,KOINADUGU,1
2015-02-19,KOINADUGU,6
2015-02-26,KOINADUGU,5
2015-03-05,KOINADUGU,3
2015-03-12,KOINADUGU,7
2015-03-19,KOINADUGU,5
2015-03-26,KOINADUGU,1
2015-04-02,KOINADUGU,4
2015-04-09,KOINADUGU,10
2015-04-16,KOINADUGU,3
2015-04-23,KOINADUGU,4
2015-04-30,KOINADUGU,14
2015-05-07,KOINADUGU,21
2015-05-14,KOINADUGU,21
2015-05-21,KOINADUGU,2
2015-05-28,KOINADUGU,0
2015-06-04,KOINADUGU,0
2015-06-11,KOINADUGU,0
2015-06-18,KOINADUGU,0
2015-06-25,KOINADUGU,0
2015-07-02,KOINADUGU,0
2015-07-09,KOINADUGU,0
2015-07-16,KOINADUGU,0
2015-07-23,KOINADUGU,0
2015-07-30,KOINADUGU,0
2015-08-06,KOINADUGU,0
2015-08-13,KOINADUGU,0
2013-12-26,KONO,0
2014-01-02,KONO,0
2014-01-09,KONO,0
2014-01-16,KONO,0
2014-01-23,KONO,0
2014-01-30,KONO,0
2014-02-06,KONO,0
2014-02-13,KONO,0
2014-02-20,KONO,0
2014-02-27,KONO,0
2014-03-06,KONO,0
2014-03-13,KONO,0
2014-03-20,KONO,0
2014-03-27,KONO,0
2014-04-03,KONO,0
2014-04-10,KONO,0
2014-04-17,KONO,1
2014-04-24,KONO,1
2014-05-01,KONO,0
2014-05-08,KONO,0
2014-05-15,KONO,0
2014-05-22,KONO,0
2014-05-29,KONO,1
2014-06-05,KONO,0
2014-06-12,KONO,0
2014-06-19,KONO,0
2014-06-26,KONO,0
2014-07-03,KONO,1
2014-07-10,KONO,1
2014-07-17,KONO,1
2014-07-24,KONO,2
2014-07-31,KONO,1
2014-08-07,KONO,2
2014-08-14,KONO,0
2014-08-21,KONO,4
2014-08-28,KONO,13
2014-09-04,KONO,11
2014-09-11,KONO,4
2014-09-18,KONO,8
2014-09-25,KONO,25
2014-10-02,KONO,22
2014-10-09,KONO,13
2014-10-16,KONO,14
2014-10-23,KONO,9
2014-10-30,KONO,16
2014-11-06,KONO,44
2014-11-13,KONO,42
2014-11-20,KONO,40
2014-11-27,KONO,55
2014-12-04,KONO,64
2014-12-11,KONO,49
2014-12-18,KONO,106
2014-12-25,KONO,98
2015-01-01,KONO,56
2015-01-08,KONO,53
2015-01-15,KONO,47
2015-01-22,KONO,25
2015-01-29,KONO,39
2015-02-05,KONO,22
2015-02-12,KONO,41
2015-02-19,KONO,27
2015-02-26,KONO,43
2015-03-05,KONO,58
2015-03-12,KONO,47
2015-03-19,KONO,52
2015-03-26,KONO,53
2015-04-02,KONO,32
2015-04-09,KONO,27
2015-04-16,KONO,38
2015-04-23,KONO,32
2015-04-30,KONO,3
2015-05-07,KONO,1
2015-05-14,KONO,3
2015-05-21,KONO,2
2015-05-28,KONO,8
2015-06-04,KONO,13
2015-06-11,KONO,15
2015-06-18,KONO,14
2015-06-25,KONO,13
2015-07-02,KONO,24
2015-07-09,KONO,71
2015-07-16,KONO,100
2015-07-23,KONO,81
2015-07-30,KONO,105
2015-08-06,KONO,111
2015-08-13,KONO,67
2013-12-26,MOYAMBA,0
2014-01-02,MOYAMBA,0
2014-01-09,MOYAMBA,0
2014-01-16,MOYAMBA,0
2014-01-23,MOYAMBA,0
2014-01-30,MOYAMBA,0
2014-02-06,MOYAMBA,0
2014-02-13,MOYAMBA,0
2014-02-20,MOYAMBA,0
2014-02-27,MOYAMBA,0
2014-03-06,MOYAMBA,0
2014-03-13,MOYAMBA,0
2014-03-20,MOYAMBA,0
2014-03-27,MOYAMBA,0
2014-04-03,MOYAMBA,0
2014-04-10,MOYAMBA,0
2014-04-17,MOYAMBA,0
2014-04-24,MOYAMBA,0
2014-05-01,MOYAMBA,1
2014-05-08,MOYAMBA,0
2014-05-15,MOYAMBA,0
2014-05-22,MOYAMBA,0
2014-05-29,MOYAMBA,0
2014-06-05,MOYAMBA,0
2014-06-12,MOYAMBA,0
2014-06-19,MOYAMBA,0
2014-06-26,MOYAMBA,0
2014-07-03,MOYAMBA,0
2014-07-10,MOYAMBA,0
2014-07-17,MOYAMBA,1
2014-07-24,MOYAMBA,3
2014-07-31,MOYAMBA,5
2014-08-07,MOYAMBA,2
2014-08-14,MOYAMBA,5
2014-08-21,MOYAMBA,0
2014-08-28,MOYAMBA,10
2014-09-04,MOYAMBA,5
2014-09-11,MOYAMBA,43
2014-09-18,MOYAMBA,18
2014-09-25,MOYAMBA,12
2014-10-02,MOYAMBA,9
2014-10-09,MOYAMBA,13
2014-10-16,MOYAMBA,9
2014-10-23,MOYAMBA,5
2014-10-30,MOYAMBA,42
2014-11-06,MOYAMBA,14
2014-11-13,MOYAMBA,6
2014-11-20,MOYAMBA,4
2014-11-27,MOYAMBA,13
2014-12-04,MOYAMBA,3
2014-12-11,MOYAMBA,7
2014-12-18,MOYAMBA,5
2014-12-25,MOYAMBA,10
2015-01-01,MOYAMBA,8
2015-01-08,MOYAMBA,7
2015-01-15,MOYAMBA,0
2015-01-22,MOYAMBA,5
2015-01-29,MOYAMBA,3
2015-02-05,MOYAMBA,5
2015-02-12,MOYAMBA,1
2015-02-19,MOYAMBA,2
2015-02-26,MOYAMBA,3
2015-03-05,MOYAMBA,4
2015-03-12,MOYAMBA,3
2015-03-19,MOYAMBA,0
2015-03-26,MOYAMBA,0
2015-04-02,MOYAMBA,0
2015-04-09,MOYAMBA,0
2015-04-16,MOYAMBA,1
2015-04-23,MOYAMBA,0
2015-04-30,MOYAMBA,0
2015-05-07,MOYAMBA,2
2015-05-14,MOYAMBA,1
2015-05-21,MOYAMBA,0
2015-05-28,MOYAMBA,0
2015-06-04,MOYAMBA,0
2015-06-11,MOYAMBA,0
2015-06-18,MOYAMBA,0
2015-06-25,MOYAMBA,1
2015-07-02,MOYAMBA,0
2015-07-09,MOYAMBA,0
2015-07-16,MOYAMBA,0
2015-07-23,MOYAMBA,0
2015-07-30,MOYAMBA,1
2015-08-06,MOYAMBA,0
