Date,district,incid
2014-09-11,PUJEHUN,4
2014-09-18,PUJEHUN,12
2014-09-25,PUJEHUN,11
2014-10-02,PUJEHUN,8
2014-10-09,PUJEHUN,6
2014-10-16,PUJEHUN,4
2014-10-23,PUJEHUN,5
2014-10-30,PUJEHUN,2
2014-11-06,PUJEHUN,5
2014-11-13,PUJEHUN,4
2014-11-20,PUJEHUN,9
2014-11-27,PUJEHUN,3
2014-12-04,PUJEHUN,15
2014-12-11,PUJEHUN,23
2014-12-18,PUJEHUN,23
2014-12-25,PUJEHUN,20
2015-01-01,PUJEHUN,27
2015-01-08,PUJEHUN,31
2015-01-15,PUJEHUN,35
2015-01-22,PUJEHUN,33
2015-01-29,PUJEHUN,39
2015-02-05,PUJEHUN,32
2015-02-12,PUJEHUN,39
2015-02-19,PUJEHUN,34
2015-02-26,PUJEHUN,49
2015-03-05,PUJEHUN,48
2015-03-12,PUJEHUN,54
2015-03-19,PUJEHUN,42
2015-03-26,PUJEHUN,26
2015-04-02,PUJEHUN,32
2015-04-09,PUJEHUN,34
2015-04-16,PUJEHUN,53
2015-04-23,PUJEHUN,46
2015-04-30,PUJEHUN,44
2015-05-07,PUJEHUN,56
2015-05-14,PUJEHUN,39
2015-05-21,PUJEHUN,79
2015-05-28,PUJEHUN,38
2015-06-04,PUJEHUN,99
2015-06-11,PUJEHUN,35
2015-06-18,PUJEHUN,0
2015-06-25,PUJEHUN,0
2015-07-02,PUJEHUN,0
2015-07-09,PUJEHUN,0
2015-07-16,PUJEHUN,0
2015-07-23,PUJEHUN,0
2015-07-30,PUJEHUN,0
2015-08-06,PUJEHUN,0
2015-08-13,PUJEHUN,0
2013-12-26,TONKOLILI,1
2014-01-02,TONKOLILI,0
2014-01-09,TONKOLILI,0
2014-01-16,TONKOLILI,0
2014-01-23,TONKOLILI,0
2014-01-30,TONKOLILI,0
2014-02-06,TONKOLILI,0
2014-02-13,TONKOLILI,0
2014-02-20,TONKOLILI,0
2014-02-27,TONKOLILI,0
2014-03-06,TONKOLILI,0
2014-03-13,TONKOLILI,0
2014-03-20,TONKOLILI,0
2014-03-27,TONKOLILI,0
2014-04-03,TONKOLILI,0
2014-04-10,TONKOLILI,0
2014-04-17,TONKOLILI,0
2014-04-24,TONKOLILI,0
2014-05-01,TONKOLILI,0
2014-05-08,TONKOLILI,0
2014-05-15,TONKOLILI,0
2014-05-22,TONKOLILI,0
2014-05-29,TONKOLILI,0
2014-06-05,TONKOLILI,0
2014-06-12,TONKOLILI,0
2014-06-19,TONKOLILI,0
2014-06-26,TONKOLILI,0
2014-07-03,TONKOLILI,0
2014-07-10,TONKOLILI,1
2014-07-17,TONKOLILI,2
2014-07-24,TONKOLILI,0
2014-07-31,TONKOLILI,2
2014-08-07,TONKOLILI,1
2014-08-14,TONKOLILI,5
2014-08-21,TONKOLILI,6
2014-08-28,TONKOLILI,11
2014-09-04,TONKOLILI,14
2014-09-11,TONKOLILI,38
2014-09-18,TONKOLILI,30
2014-09-25,TONKOLILI,31
2014-10-02,TONKOLILI,48
2014-10-09,TONKOLILI,35
2014-10-16,TONKOLILI,52
2014-10-23,TONKOLILI,26
2014-10-30,TONKOLILI,58
2014-11-06,TONKOLILI,49
2014-11-13,TONKOLILI,42
2014-11-20,TONKOLILI,33
2014-11-27,TONKOLILI,23
2014-12-04,TONKOLILI,27
2014-12-11,TONKOLILI,38
2014-12-18,TONKOLILI,29
2014-12-25,TONKOLILI,13
2015-01-01,TONKOLILI,21
2015-01-08,TONKOLILI,6
2015-01-15,TONKOLILI,7
2015-01-22,TONKOLILI,5
2015-01-29,TONKOLILI,5
2015-02-05,TONKOLILI,8
2015-02-12,TONKOLILI,5
2015-02-19,TONKOLILI,4
2015-02-26,TONKOLILI,6
2015-03-05,TONKOLILI,3
2015-03-12,TONKOLILI,8
2015-03-19,TONKOLILI,8
2015-03-26,TONKOLILI,11
2015-04-02,TONKOLILI,4
2015-04-09,TONKOLILI,5
2015-04-16,TONKOLILI,26
2015-04-23,TONKOLILI,17
2015-04-30,TONKOLILI,17
2015-05-07,TONKOLILI,23
2015-05-14,TONKOLILI,33
2015-05-21,TONKOLILI,23
2015-05-28,TONKOLILI,16
2015-06-04,TONKOLILI,17
2015-06-11,TONKOLILI,6
2015-06-18,TONKOLILI,11
2015-06-25,TONKOLILI,12
2015-07-02,TONKOLILI,25
2015-07-09,TONKOLILI,13
2015-07-16,TONKOLILI,19
2015-07-23,TONKOLILI,23
2015-07-30,TONKOLILI,3
2015-08-06,TONKOLILI,9
2015-08-13,TONKOLILI,15
2013-12-26,WESTERN,2
2014-01-02,WESTERN,0
2014-01-09,WESTERN,0
2014-01-16,WESTERN,0
2014-01-23,WESTERN,1
2014-01-30,WESTERN,0
2014-02-06,WESTERN,0
2014-02-13,WESTERN,1
2014-02-20,WESTERN,0
2014-02-27,WESTERN,4
2014-03-06,WESTERN,0
2014-03-13,WESTERN,0
2014-03-20,WESTERN,2
2014-03-27,WESTERN,0
2014-04-03,WESTERN,3
2014-04-10,WESTERN,2
2014-04-17,WESTERN,0
2014-04-24,WESTERN,0
2014-05-01,WESTERN,2
2014-05-08,WESTERN,2
2014-05-15,WESTERN,1
2014-05-22,WESTERN,1
2014-05-29,WESTERN,1
2014-06-05,WESTERN,3
2014-06-12,WESTERN,1
2014-06-19,WESTERN,5
2014-06-26,WESTERN,3
2014-07-03,WESTERN,7
2014-07-10,WESTERN,4
2014-07-17,WESTERN,7
2014-07-24,WESTERN,6
2014-07-31,WESTERN,23
2014-08-07,WESTERN,37
2014-08-14,WESTERN,67
2014-08-21,WESTERN,52
2014-08-28,WESTERN,46
2014-09-04,WESTERN,119
2014-09-11,WESTERN,150
2014-09-18,WESTERN,180
2014-09-25,WESTERN,149
2014-10-02,WESTERN,267
2014-10-09,WESTERN,265
2014-10-16,WESTERN,332
2014-10-23,WESTERN,433
2014-10-30,WESTERN,380
2014-11-06,WESTERN,409
2014-11-13,WESTERN,394
2014-11-20,WESTERN,428
2014-11-27,WESTERN,390
2014-12-04,WESTERN,379
2014-12-11,WESTERN,383
2014-12-18,WESTERN,420
2014-12-25,WESTERN,352
2015-01-01,WESTERN,337
2015-01-08,WESTERN,188
2015-01-15,WESTERN,201
2015-01-22,WESTERN,175
2015-01-29,WESTERN,144
2015-02-05,WESTERN,195
2015-02-12,WESTERN,139
2015-02-19,WESTERN,131
2015-02-26,WESTERN,170
2015-03-05,WESTERN,178
2015-03-12,WESTERN,78
2015-03-19,WESTERN,80
2015-03-26,WESTERN,60
2015-04-02,WESTERN,55
2015-04-09,WESTERN,40
2015-04-16,WESTERN,36
2015-04-23,WESTERN,39
2015-04-30,WESTERN,36
2015-05-07,WESTERN,29
2015-05-14,WESTERN,77
2015-05-21,WESTERN,81
2015-05-28,WESTERN,57
2015-06-04,WESTERN,55
2015-06-11,WESTERN,88
2015-06-18,WESTERN,121
2015-06-25,WESTERN,41
2015-07-02,WESTERN,38
2015-07-09,WESTERN,40
2015-07-16,WESTERN,23
2015-07-23,WESTERN,47
2015-07-30,WESTERN,32
2015-08-06,WESTERN,31
2015-08-13,WESTERN,36
