date,cases
01/05/2018,11
02/05/2018,13
03/05/2018,15
04/05/2018,16
05/05/2018,24
06/05/2018,24
07/05/2018,26
08/05/2018,28
09/05/2018,30
10/05/2018,32
11/05/2018,34
12/05/2018,34
13/05/2018,39
14/05/2018,39
15/05/2018,46
16/05/2018,50
17/05/2018,53
18/05/2018,60
19/05/2018,62
20/05/2018,64
21/05/2018,70
22/05/2018,79
23/05/2018,84
24/05/2018,87
25/05/2018,95
26/05/2018,98
27/05/2018,105
28/05/2018,121
29/05/2018,127
30/05/2018,137
31/05/2018,158
01/06/2018,162
02/06/2018,177
03/06/2018,189
04/06/2018,301.9283187
05/06/2018,332.4500535
06/06/2018,366.0572105
07/06/2018,403.0616927
08/06/2018,443.8069337
09/06/2018,488.6710843
10/06/2018,538.0705223
11/06/2018,592.4637169
12/06/2018,652.3554838
13/06/2018,718.3016699
14/06/2018,790.9143126
15/06/2018,870.8673194
16/06/2018,958.902723
17/06/2018,1055.837568
18/06/2018,1162.571492
19/06/2018,1280.095078
20/06/2018,1409.499046
21/06/2018,1551.984376
22/06/2018,1708.873455
23/06/2018,1881.622346
24/06/2018,2071.83431
25/06/2018,2281.274675
26/06/2018,2511.88723
27/06/2018,2765.812255
28/06/2018,3045.406394
29/06/2018,3353.26452
30/06/2018,3692.243821
