date,cases
01/05/2018,13
02/05/2018,17
03/05/2018,18
04/05/2018,21
05/05/2018,25
06/05/2018,26
07/05/2018,28
08/05/2018,28
09/05/2018,30
10/05/2018,33
11/05/2018,33
12/05/2018,36
13/05/2018,38
14/05/2018,42
15/05/2018,45
16/05/2018,48
17/05/2018,51
18/05/2018,54
19/05/2018,57
20/05/2018,59
21/05/2018,64
22/05/2018,67
23/05/2018,70
24/05/2018,71
25/05/2018,77
26/05/2018,79
27/05/2018,91
28/05/2018,99
29/05/2018,103
30/05/2018,104
31/05/2018,108
01/06/2018,118
02/06/2018,121
03/06/2018,124
04/06/2018,145.211258
05/06/2018,154.1443705
06/06/2018,163.6270305
07/06/2018,173.6930453
08/06/2018,184.3783016
09/06/2018,195.720894
10/06/2018,207.7612604
11/06/2018,220.5423266
12/06/2018,234.109659
13/06/2018,248.5116272
14/06/2018,263.7995762
15/06/2018,280.02801
16/06/2018,297.2547853
17/06/2018,315.541318
18/06/2018,334.9528025
19/06/2018,355.5584436
20/06/2018,377.4317033
21/06/2018,400.6505632
22/06/2018,425.2978019
23/06/2018,451.4612905
24/06/2018,479.2343058
25/06/2018,508.7158626
26/06/2018,540.0110671
27/06/2018,573.2314913
28/06/2018,608.495571
29/06/2018,645.929028
30/06/2018,685.6653179
