"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","Power of gravity model: 1",NA,NA,NA,"Power of gravity model: 2",NA,NA,NA
"2","Country","Relative risk","Exportation 1","Exportation 2","Country","Relative risk","Exportation 1","Exportation 2"
"3","India","0.10428962","0.7 (0;3)","3.3 (0;8)","Guinea","0.38913744","2.5 (0;6)","12.7 (6;21)"
"4","China","0.09172750","0.6 (0;2)","3 (0;7)","Nigeria","0.08512734","0.6 (0;2)","2.9 (0;6)"
"5","Nigeria","0.08395843","0.5 (0;2)","2.8 (0;6)","Côte d'Ivoire","0.06654332","0.4 (0;2)","2.1 (0;6)"
"6","Guinea","0.04412254","0.3 (0;2)","1.4 (0;4)","Liberia","0.05940073","0.4 (0;2)","1.9 (0;5)"
"7","Brazil","0.03828512","0.2 (0;1)","1.2 (0;4)","Mali","0.04064140","0.3 (0;2)","1.3 (0;4)"
"8","United States","0.03388635","0.2 (0;2)","1 (0;3)","Senegal","0.03546849","0.2 (0;1)","1.1 (0;4)"
"9","Côte d'Ivoire","0.02577417","0.2 (0;1)","0.8 (0;3)","Ghana","0.02573850","0.2 (0;1)","0.8 (0;3)"
"10","Democratic Republic of the Congo","0.02016558","0.1 (0;1)","0.7 (0;3)","India","0.02018197","0.1 (0;1)","0.7 (0;3)"
"11","Pakistan","0.01994313","0.1 (0;1)","0.6 (0;2)","Burkina Faso","0.01887200","0.1 (0;1)","0.6 (0;2)"
"12","Mali","0.01723213","0.1 (0;1)","0.6 (0;2)","Brazil","0.01681365","0.1 (0;1)","0.5 (0;2)"
