NodeName,City,StateCode,CountryCode,Lon,Lat
CQD,Shahre-Kord,NULL,IR,50.84,32.29
CQM,Ciudad Real,SP,ES,-3.92,38.98
CRA,Craiova,NULL,RO,23.89,44.32
CRC,Cartago,NULL,CO,-75.93,4.77
CRD,Comodoro Rivadavia,CB,AR,-67.46,-45.79
CRI,Crooked Island,NULL,BS,-74.15,22.75
CRK,Luzon Island,NULL,PH,120.55,15.18
CRL,Brussels,NULL,BE,4.45,50.46
CRM,Catarman,NULL,PH,124.58,12.48
CRP,Corpus Christi,TX,US,-97.5,27.77
CRV,Crotone,NULL,IT,17.08,39
CRW,Charleston,WV,US,-81.6,38.37
CSA,Colonsay Island,EN,GB,-6.2,56.08
CSG,Columbus,GA,US,-84.94,32.51
CSH,Solovetsky,NULL,RU,35.73,65.03
CSX,Changsha,NULL,CN,113.21,28.19
CSY,Cheboksary,NULL,RU,47.27,56.13
CTA,Catania,NULL,IT,15.07,37.47
CTC,Catamarca,CA,AR,-65.78,-28.45
CTD,Chitre,NULL,PA,-80.43,7.97
CTG,Cartagena,NULL,CO,-75.52,10.45
CTL,Charleville,QLD,AU,146.26,-26.41
CTM,Chetumal,NULL,MX,-88.33,18.48
CTS,Sapporo,NULL,JP,141.68,42.79
CTU,Chengdu,NULL,CN,103.96,30.58
CUC,Cucuta,NULL,CO,-72.51,7.93
CUE,Cuenca,NULL,EC,-78.99,-2.89
CUF,Cuneo,NULL,IT,7.62,44.54
CUL,Culiacan,NULL,MX,-107.47,24.77
CUN,Cancun,NULL,MX,-86.87,21.04
CUQ,Coen,QLD,AU,143.11,-13.76
CUR,Curacao,NULL,AN,-68.96,12.18
CUU,Chihuahua,NULL,MX,-105.97,28.7
CUZ,Cuzco,NULL,PE,-71.94,-13.54
CVG,Cincinnati,OH,US,-84.66,39.06
CVJ,Cuernavaca,NULL,MX,-99.25,18.92
CVM,Ciudad Victoria,NULL,MX,-98.97,23.71
CVN,Clovis,NM,US,-103.08,34.43
CVQ,Carnarvon,WA,AU,113.66,-24.88
CVU,Corvo Island (Azores),NULL,PT,-31.1,39.7
CWA,Wausau,WI,US,-89.67,44.78
CWB,Curitiba,PR,BR,-49.24,-25.4
CWC,Chernovtsy,NULL,UA,25.97,48.27
CWL,Cardiff,WL,GB,-3.34,51.4
