Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat
"Kambia, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,213,,,,,ReliefWeb,-12.91667,9.11667
"Koinadugu, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,108,,,,,ReliefWeb,-11.36667,9.53333
"Port Loko, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,1445,,,,,ReliefWeb,-12.78333,8.76667
"Tonkolili District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,454,,,,,ReliefWeb,-11.66667,8.66667
"Bo District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,314,,,,,ReliefWeb,-11.666667,8
"Bonthe District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,5,,,,,ReliefWeb,-12.5,7.5
"Moyamba District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,209,,,,,ReliefWeb,-12.5,8
"Pujehun District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,31,,,,,ReliefWeb,-11.5,7.33333
"Western Area Rural, Sierra Leone",Sierra Leone,Ebola,Humans,3303400,"Ebola Outbreak Updates â€“ 16 April, 2015",http://reliefweb.int/node/942071,4/16/15 0:00,Breaking,1162,,,,,ReliefWeb,-13.035694,8.311498
Guinea,Guinea,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,3548,2346,,,,ReliefWeb,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,12201,3857,,,,ReliefWeb,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,10042,4486,,,,ReliefWeb,-9.30791,6.44809
"Kambia, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,,,,ReliefWeb,-12.91667,9.11667
"Port Loko, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,,,,ReliefWeb,-12.78333,8.76667
"Western Area Rural, Sierra Leone",Sierra Leone,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,,,,ReliefWeb,-13.035694,8.311498
"ForÃ©cariah Prefecture, Kindia Region, Guinea",Guinea,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,,,,ReliefWeb,-13.08806,9.43056
Mali,Mali,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,8,6,,,,ReliefWeb,-3.52442,17.350281
Nigeria,Nigeria,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,20,8,,,,ReliefWeb,8.10531,9.59396
Senegal,Senegal,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,1,,,,,ReliefWeb,-14.46765,14.36697
Spain,Spain,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,1,,,,,ReliefWeb,-3.64957,40.22683
United Kingdom,United Kingdom,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,1,,,,,ReliefWeb,-2.0215,54.470001
United States,United States,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,4,1,,ReliefWeb,-97.556099,39.96693
"Conakry Region, Guinea",Guinea,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,,,,ReliefWeb,-13.712222,9.509167
"Coyah Prefecture, Kindia Region, Guinea",Guinea,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,,,,ReliefWeb,-13.37694,9.70556
"Siguiri Prefecture, Kankan Region, Guinea",Guinea,Ebola,Humans,3299940,Ebola Situation Report - 15 April 2015,http://reliefweb.int/node/939826,4/15/15 0:00,Breaking,,,,,,ReliefWeb,-9.5,11.66667
Liberia,Liberia,Ebola,Humans,3298258,Liberia Ebola Situation Report no. 80 - 8 April 2015,http://reliefweb.int/node/938481,4/14/15 0:00,Breaking,,,,,,ReliefWeb,-9.30791,6.44809
"Margibi County, Liberia",Liberia,Ebola,Humans,3298258,Liberia Ebola Situation Report no. 80 - 8 April 2015,http://reliefweb.int/node/938481,4/14/15 0:00,Breaking,,,,,,ReliefWeb,-10.25,6.5
"Montserrado County, Liberia",Liberia,Ebola,Humans,3298258,Liberia Ebola Situation Report no. 80 - 8 April 2015,http://reliefweb.int/node/938481,4/14/15 0:00,Breaking,,,,,,ReliefWeb,-10.5,6.5
