Location,Country,Region/City,Disease,Species,Feed Language,HM Alert ID,Headline,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,Cumulative SC,Cumulative SD,Cumulative CC,Cumulative CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Guinea,Guinea,Dabola,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,1,,,,,,,,,ProMED Mail,WHO/AFRO [edited],
Liberia,Liberia,,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,,,,,,,2,,,ProMED Mail,WHO/AFRO [edited],
Sierra Leone,Sierra Leone,,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,,,,,,2,,,,ProMED Mail,WHO/AFRO [edited],
Guinea,Guinea,,Ebola,Humans,,2369368,"PRO/AH/EDR> Ebola virus disease - West Africa (03): Liberia, timeline",http://promedmail.org/direct.php?id=20140331.2369368,31/03/14 11:30,No Tag,,,,,,59,,,,ProMED Mail,"Daily Observer, Liberia [edited]",
Guinea,Guinea,,Ebola,Humans,,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,31/03/14 22:51,No Tag,,,,,103,66,,,,ProMED Mail,Allafrica.com [edited],
Liberia,Liberia,,Ebola,Humans,,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,31/03/14 22:51,No Tag,,,,,6,4,,,,ProMED Mail,FrontPageAfrica (Monrovia) [edited],
Liberia,Liberia,Foya ,Ebola,Humans,,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,31/03/14 22:51,No Tag,,,,,,2,2,,,ProMED Mail,WHO Disease Outbreak News [edited],
Guinea,Guinea,,Ebola,Humans,,2373662,"PRO/AH/EDR> Ebola virus disease - West Africa (05): Guinea, Liberia, Sierra Leone WHO update",http://promedmail.org/direct.php?id=20140401.2373662,01/04/14 21:55,No Tag,,,,,122,80,24,13,,ProMED Mail,MInistry of Health of Guinea,
Liberia,Liberia,,Ebola,Humans,,2373662,"PRO/AH/EDR> Ebola virus disease - West Africa (05): Guinea, Liberia, Sierra Leone WHO update",http://promedmail.org/direct.php?id=20140401.2373662,01/04/14 21:55,No Tag,,,,,8,2,2,1,,ProMED Mail,Ministry of Health Liberia,
Guinea,Guinea,,Ebola,Humans,,2373940,PRO/AH/EDR> Ebola virus disease - West Africa (06),http://promedmail.org/direct.php?id=20140402.2373940,02/04/14 09:59,No Tag,,1,,1,127,83,,,,ProMED Mail,Bloomberg News,
Guinea,Guinea,,Ebola,Humans,,2376459,PRO/AH/EDR> Ebola virus disease - West Africa (07),http://promedmail.org/direct.php?id=20140402.2376459,02/04/14 22:43,No Tag,5,,,,127,83,12,4,,ProMED Mail,"News24, AFP",
Liberia,Liberia,,Ebola,Humans,,2376459,PRO/AH/EDR> Ebola virus disease - West Africa (07),http://promedmail.org/direct.php?id=20140402.2376459,02/04/14 22:43,No Tag,,,,,5,,2,,,ProMED Mail,"News24, AFP",
Sierra Leone,Sierra Leone,,Ebola,Humans,,2376459,PRO/AH/EDR> Ebola virus disease - West Africa (07),http://promedmail.org/direct.php?id=20140402.2376459,02/04/14 22:43,No Tag,,,,,,,,,,ProMED Mail,"News24, AFP",
Guinea,Guinea,,Ebola,Humans,,2379386,"PRO/AH/EDR> Ebola virus disease - West Africa (08): WHO, miscellaneous reports",http://promedmail.org/direct.php?id=20140403.2379386,03/04/14 21:49,No Tag,4,,,,134,84,,,,ProMED Mail,"Business Standard, India",
