Aruba	14	-70.02800507350071	12.521324067815698	110479.0
Afghanistan	1	69.16621653291264	34.53259458128669	3.2697859E7
Angola	8	14.935555555555567	-10.400220199647677	2.5000494E7
Anguilla	9	-63.05261229314421	18.215812182741118	14033.0
Åland	3	19.943280977312384	60.12338049778383	26259.0
Albania	4	19.793340310675347	41.317304648666585	3013714.0
Andorra	7	1.5379011509817246	42.51563132738075	85493.0
United Arab Emirates	241	55.307723523734325	25.2303902116402	5642548.0
Argentina	12	-58.73191233535552	-34.40895137553288	4.3364797E7
Armenia	13	44.505615593613584	40.19493311958559	3061551.0
American Samoa	6	-170.73071869488535	-14.32324759326113	42370.0
Antarctica	10	0.0	0.0	0.0
French Southern Territories	82	0.0	0.0	0.0
Antigua and Barbuda	11	-61.83694303440497	17.114521201460505	88039.0
Australia	15	151.10992674505417	-33.86902296803272	2.220225E7
Austria	16	14.121333333333354	47.99360024645155	8675304.0
Azerbaijan	17	49.854979058347794	40.411542217099445	9662322.0
Burundi	39	29.827091767881228	-3.2452188408572624	1.0744389E7
Belgium	23	4.353995008943514	50.86565703294735	1.132153E7
Benin	25	2.201940639269395	7.155345007691068	1.0294241E7
Bonaire, Sint Eustatius and Saba	29	-68.27960593134269	12.175396995708155	23984.0
Burkina Faso	38	-1.535334294065109	12.334459958823842	1.8955589E7
Bangladesh	20	90.39592873012356	23.874197333221048	1.68836604E8
Bulgaria	37	23.331739560835132	42.687897834861886	7145649.0
Bahrain	19	50.535746679624225	26.18414883841713	1175011.0
Bahamas	18	-77.33164645103325	25.056042331576734	305949.0
Bosnia and Herzegovina	30	18.64729930191973	44.45943479148027	3857188.0
Saint-Barthélemy	190	-62.833602150537644	17.90397619947109	6890.0
Belarus	22	27.68866666666665	53.77132852564102	9586273.0
Belize	24	-88.20444676247875	17.48955618302925	300090.0
Bermuda	26	-64.77262816584968	32.298986842708466	50260.0
Bolivia	28	-66.15125249074865	-17.423047509033836	1.0727154E7
Brazil	33	-44.30699465666211	-20.069151961225657	2.02121456E8
Barbados	21	-59.60567639763403	13.120078091635648	276772.0
Brunei	36	114.92310618775878	4.899707363946064	424706.0
Bhutan	27	91.19706523635097	27.231873549883986	727339.0
Bouvet Island	32	0.0	0.0	0.0
Botswana	31	26.53235294117647	-23.45630787037038	2170403.0
Central African Republic	46	18.17500000000001	5.067262705028227	5413588.0
Canada	42	-73.60260490002815	45.588858924045184	3.4473219E7
Cocos Islands	52	96.82916666666665	-12.185737179487177	225.0
Switzerland	223	8.110626712099958	47.166673319978315	8132157.0
Chile	48	-70.64378416718566	-33.53958752543325	1.7287205E7
China	49	117.28001521216163	31.85826518977352	1.363973572E9
Côte d'Ivoire	57	-6.286971710974768	6.508125061041113	2.3146179E7
Cameroon	41	10.40749055927671	5.490867788902918	2.3849619E7
Democratic Republic of the Congo	63	15.31690481567918	-4.3304867887581935	7.9305117E7
Republic of Congo	185	15.286153214822065	-4.246107441022147	4760972.0
Cook Islands	55	-159.7852441613588	-21.211765072247147	7901.0
Colombia	53	-74.00377823231159	5.021329837061941	4.6414933E7
Comoros	54	43.47431406888501	-11.872754671488863	699790.0
Cape Verde	43	-23.644807121661728	15.114217417589401	484035.0
Costa Rica	56	-84.06558282748306	9.965025907681067	4777636.0
Cuba	59	-79.27828151986184	22.084009394028186	1.0906296E7
Curaçao	60	-68.90261796618724	12.136461881827785	133741.0
Christmas Island	50	105.67692307692306	-10.423796166432922	1381.0
Cayman Islands	45	-81.37676629481513	19.299150935264194	47758.0
Cyprus	61	33.589988633644396	34.95219809487998	833524.0
Czech Republic	62	16.895117521367524	49.86805003272448	1.0652014E7
Germany	86	9.470359160613413	51.0025709124567	8.0770175E7
Djibouti	65	43.11275228255644	11.564273506107156	759266.0
Dominica	67	-61.389924973204714	15.348945823325323	60325.0
Denmark	64	12.483058094446761	55.71201678385059	5447035.0
Dominican Republic	66	-69.90372663252768	18.549996745590732	1.0201788E7
Algeria	5	4.759190761170004	36.07279304612725	3.9475824E7
Ecuador	68	-79.346	-1.4214514077198714	1.5819714E7
Egypt	69	31.323777777777764	30.153094647420126	8.8970569E7
Eritrea	72	38.92547377699427	15.320150866378697	6397461.0
Western Sahara	253	-13.171880319305018	27.13090521213092	501647.0
Spain	215	-3.6792558271405937	40.41012127959227	4.6428909E7
Estonia	73	26.363311421528323	59.33928796099708	1254105.0
Ethiopia	74	38.75590158542201	9.007284533159961	9.9458763E7
Finland	78	25.533128654970767	61.175996160409554	5350024.0
Fiji	77	177.42320039932747	-17.798082726135277	827706.0
Falkland Islands	75	-57.84855769230769	-51.696822222222224	3068.0
France	79	4.095760233918128	47.777706859301034	6.3796508E7
Faroe Islands	76	-6.779780361757105	62.03326679087924	42965.0
Micronesia	146	151.82791438979967	7.351379003558705	76013.0
Gabon	83	9.47535479102271	0.37387862469444144	1701978.0
United Kingdom	242	-1.869298528305933	52.454484740694916	6.3517689E7
Georgia	85	44.557201257861635	41.84770509633312	4920324.0
Guernsey	95	-2.5445598417408632	49.462840582332944	55477.0
Ghana	87	-1.14166666666668	6.497573607568029	2.5892846E7
Gibraltar	88	-5.354133130081294	36.1367686786823	28030.0
Guinea	97	-12.0425438596491	10.212561251801517	1.159931E7
Guadeloupe	92	-61.53100933488915	16.250419409015976	366755.0
Gambia	84	-16.685920909680192	13.422486886503862	1959443.0
Guinea-Bissau	96	-15.32647243107769	12.043387445887447	1627035.0
Equatorial Guinea	71	9.772667469973925	1.8628883640476204	721153.0
Greece	89	23.792951810817243	38.09094196120492	1.0476616E7
