"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,204,"SLE","Sierra Leone",1,"Eastern","SL.EA",NA,"","Province","Province","",""
2,204,"SLE","Sierra Leone",2,"Northern","SL.NO",NA,"","Province","Province","",""
3,204,"SLE","Sierra Leone",3,"Southern","SL.SO",NA,"","Province","Province","",""
4,204,"SLE","Sierra Leone",4,"Western","SL.WE",NA,"","Province","Province","",""
